huntCode,species,sex,huntType,huntClass,area,unitCode,unitNames,weapon,conditions,permitCount,organizations,averageValue,sourceSpecies,sourceRowStart,sourceRowNumbers,matchedPermitRegister,matchedRegisterLabel,matchedCanonicalHunts,boundaryIds,sourceHuntCodes
CP-BLACK-BEAR-BOULDER-KAIPAROWITS-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,SFW,Boulder/Kaiparowits,boulder-kaiparowits,Boulder/Kaiparowits,Multiseason,Multiseason,4,SFW,3983.33,Bear,27,27 | 28 | 29 | 30,false,,true,455,BR7012 | BR7114 | BR7215 | BR7236 | BR7310
CP-BLACK-BEAR-CHALK-CREEK-EAST-CANYON-MORGAN-SOUTH-RICH-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,DSC,Chalk Creek/East Canyon/Morgan-South Rich,chalk-creek-east-canyon-morgan-south-rich,Chalk Creek/East Canyon/Morgan-South Rich,Multiseason,Multiseason,1,DSC,2850,Bear,31,31,false,,true,610 | 93,BR7019 | BR7122 | BR7234 | BR7324 | BR7325
CP-BLACK-BEAR-DIAMOND-MTN-VERNAL-BONANZA-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,MDF,Diamond Mtn/Vernal/Bonanza,diamond-mtn-vernal-bonanza,Diamond Mtn/Vernal/Bonanza,Multiseason,Multiseason,1,MDF,4875,Bear,32,32,false,,true,444,BR7015 | BR7117 | BR7218 | BR7313
CP-BLACK-BEAR-DIAMOND-MTN-VERNAL-BONANZA-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,SFW,Diamond Mtn/Vernal/Bonanza,diamond-mtn-vernal-bonanza,Diamond Mtn/Vernal/Bonanza,Multiseason,Multiseason,1,SFW,4875,Bear,33,33,false,,true,444,BR7015 | BR7117 | BR7218 | BR7313
CP-BLACK-BEAR-FISHLAKE-THOUSAND-LAKES-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,SFW,Fishlake/Thousand Lakes,fishlake-thousand-lakes,Fishlake/Thousand Lakes,Multiseason,Multiseason,1,SFW,13833.33,Bear,34,34,false,,true,175,BR7013 | BR7115 | BR7216 | BR7311
CP-BLACK-BEAR-KAMAS-NORTH-SLOPE-SUMMIT-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,MDF,"Kamas/North Slope, Summit",kamas-north-slope-summit,"Kamas/North Slope, Summit",Multiseason,Multiseason,1,MDF,4750,Bear,35,35,false,,true,138 | 251,BR7018 | BR7123 | BR7229 | BR7235 | BR7321
CP-BLACK-BEAR-LA-SAL-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,UHA,La Sal,la-sal,La Sal,Multiseason,Multiseason,1,UHA,8370.83,Bear,36,36,false,,true,684,BR1009 | BR1012 | BR1017 | BR7008 | BR7108 | BR7208 | BR7226 | BR7307
CP-BLACK-BEAR-LA-SAL-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,SFW,La Sal,la-sal,La Sal,Multiseason,Multiseason,2,SFW,8370.83,Bear,37,37 | 39,false,,true,684,BR1009 | BR1012 | BR1017 | BR7008 | BR7108 | BR7208 | BR7226 | BR7307
CP-BLACK-BEAR-LA-SAL-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,MDF,La Sal,la-sal,La Sal,Multiseason,Multiseason,1,MDF,8370.83,Bear,38,38,false,,true,684,BR1009 | BR1012 | BR1017 | BR7008 | BR7108 | BR7208 | BR7226 | BR7307
CP-BLACK-BEAR-MANTI-NORTH-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,UHA,Manti-North,manti-north,"Manti, North | Manti-North",Multiseason,Multiseason,1,UHA,5133.33,Bear,40,40,false,,true,52 | 58,BR7003 | BR7104 | BR7203 | BR7231 | BR7303
CP-BLACK-BEAR-MANTI-NORTH-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,MDF,Manti-North,manti-north,"Manti, North | Manti-North",Multiseason,Multiseason,1,MDF,5133.33,Bear,41,41,false,,true,52 | 58,BR7003 | BR7104 | BR7203 | BR7231 | BR7303
CP-BLACK-BEAR-MANTI-NORTH-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,SFW,Manti-North,manti-north,"Manti, North | Manti-North",Multiseason,Multiseason,1,SFW,5133.33,Bear,42,42,false,,true,52 | 58,BR7003 | BR7104 | BR7203 | BR7231 | BR7303
CP-BLACK-BEAR-MANTI-SOUTH-SAN-RAFAEL-NORTH-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,MDF,"Manti-South/San Rafael, North",manti-south-san-rafael-north,"Manti, South/San Rafael, North | Manti-South/San Rafael, North",Multiseason,Multiseason,2,MDF,9611.11,Bear,43,43 | 44,false,,true,744,BR7004 | BR7105 | BR7204 | BR7232 | BR7304
CP-BLACK-BEAR-MANTI-SOUTH-SAN-RAFAEL-NORTH-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,SFW,"Manti-South/San Rafael, North",manti-south-san-rafael-north,"Manti, South/San Rafael, North | Manti-South/San Rafael, North",Multiseason,Multiseason,1,SFW,9611.11,Bear,45,45,false,,true,744,BR7004 | BR7105 | BR7204 | BR7232 | BR7304
CP-BLACK-BEAR-NEBO-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,UHA,Nebo,nebo,Nebo,Multiseason,Multiseason,1,UHA,5266.67,Bear,46,46,false,,true,616,BR7005 | BR7106 | BR7205 | BR7233 | BR7305
CP-BLACK-BEAR-NINE-MILE-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,SFW,Nine Mile,nine-mile,Nine Mile,Multiseason,Multiseason,4,SFW,2255.56,Bear,47,47 | 48 | 49 | 50,false,,true,615,BR1002 | BR1014 | BR7110 | BR7211 | BR7317
CP-BLACK-BEAR-PANGUITCH-LAKE-ZION-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,MDF,Panguitch Lake/Zion,panguitch-lake-zion,Panguitch Lake/Zion,Multiseason,Multiseason,1,MDF,6166.67,Bear,51,51,false,,true,462,BR7010 | BR7112 | BR7213 | BR7309
CP-BLACK-BEAR-PAUNSAUGUNT-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,SFW,Paunsaugunt,paunsaugunt,Paunsaugunt,Multiseason,Multiseason,1,SFW,4000,Bear,52,52,false,,true,163,BR7011 | BR7113 | BR7214 | BR7323
CP-BLACK-BEAR-SAN-JUAN-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,UHA,San Juan,san-juan,San Juan,Multiseason,Multiseason,1,UHA,5320.83,Bear,53,53,false,,true,710,BR1010 | BR1013 | BR1016 | BR7014 | BR7116 | BR7217 | BR7227 | BR7312
CP-BLACK-BEAR-SAN-JUAN-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,SFW,San Juan,san-juan,San Juan,Multiseason,Multiseason,2,SFW,5320.83,Bear,54,54 | 55,false,,true,710,BR1010 | BR1013 | BR1016 | BR7014 | BR7116 | BR7217 | BR7227 | BR7312
CP-BLACK-BEAR-SAN-JUAN-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,MDF,San Juan,san-juan,San Juan,Multiseason,Multiseason,1,MDF,5320.83,Bear,56,56,false,,true,710,BR1010 | BR1013 | BR1016 | BR7014 | BR7116 | BR7217 | BR7227 | BR7312
CP-BLACK-BEAR-STATEWIDE-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,MDF,Statewide,statewide,Black Bear Conservation - Statewide,Multiseason,Multiseason,1,MDF,15666.67,Bear,64,64,true,Statewide Black Bear Conservation,false,454,BR7319
CP-BLACK-BEAR-WASATCH-MTNS-AVINTAQUIN-CURRANT-CREEK-EITHER-SEX-MULTISEASON,Black Bear,Either Sex,Conservation,SFW,"Wasatch Mtns, Avintaquin/Currant Creek",wasatch-mtns-avintaquin-currant-creek,"Wasatch Mtns, Avintaquin/Currant Creek | Wasatch Mtns, Avintaquin/Currant Creek (bear)",Multiseason,Multiseason,2,SFW,4333.33,Bear,57,57 | 58,false,,true,463,BR1005 | BR7119 | BR7220 | BR7315
