recommendation_year,hunt_code,species,permit_category,section_title,hunt_name,weapon,sex_type,access_class,permit_split_type,resident_permits_prior_raw,nonresident_permits_prior_raw,total_permits_prior_raw,resident_permits_raw,nonresident_permits_raw,total_permits_raw,resident_permits_prior,nonresident_permits_prior,total_permits_prior,resident_permits,nonresident_permits,total_permits,source_type,source_authority_level,source_file,source_page_number
2026,BI6539,Bison,2026 Bison Permit Recommendations,Bison Cow,Henry Mtns,Any Legal Weapon,Cow Only,Public,resident_nonresident,,,,11,0,11,,,,11,0,11,bison__cow_workbook,updated_current_permits,bison  cow.xlsx,
2026,DA1001,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"Box Elder, West Bear River","Archery, Muzzleloader, Shotgun",Antlerless,Public,total_only,,,30,,,30,,,30,,,30,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1002,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"Box Elder, West Bear River","Archery, Muzzleloader, Shotgun",Antlerless,Public,total_only,,,30,,,30,,,30,,,30,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1003,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"Monroe/Plateau, Sevier Valley","Archery, Muzzleloader, Shotgun",Antlerless,Public,total_only,,,15,,,15,,,15,,,15,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1009,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"Pine Valley, Enterprise",Any Legal Weapon,Antlerless,Public,total_only,,,25,,,25,,,25,,,25,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1011,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,George Creek CWMU,Any Legal Weapon,Antlerless,CWMU,resident_nonresident,,,,5,0,5,,,,5,0,5,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1012,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,Junction Valley CWMU,Any Legal Weapon,Antlerless,CWMU,resident_nonresident,,,,15,0,15,,,,15,0,15,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1013,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,Mt Carmel CWMU,Any Legal Weapon,Antlerless,CWMU,resident_nonresident,,,,5,0,5,,,,5,0,5,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1018,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"Pine Valley, New Harmony","Archery, Muzzleloader, Shotgun",Antlerless,Public,total_only,,,20,,,20,,,20,,,20,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1027,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"East Canyon, Davis-North Salt Lake",Any Legal Weapon,Antlerless,Public,total_only,,,30,,,30,,,30,,,30,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1030,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"Nine Mile, Price River Valley",Archery,Antlerless,Public,total_only,,,25,,,25,,,25,,,25,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1031,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"Oquirrh-Stansbury, Settlement Cyn",Archery,Antlerless,Public,total_only,,,20,,,20,,,20,,,20,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1033,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"San Juan, Monticello",Archery,Antlerless,Public,total_only,,,5,,,5,,,5,,,5,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1041,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"Nine Mile, Green River Valley",Any Legal Weapon,Antlerless,Public,total_only,,,15,,,15,,,15,,,15,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1042,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"San Juan, Monticello",Archery,Antlerless,Public,total_only,,,5,,,5,,,5,,,5,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1045,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"Fillmore, Oak City",Archery,Antlerless,Public,total_only,,,20,,,20,,,20,,,20,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1046,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"Nine Mile, Price River Valley","Archery, Muzzleloader, Shotgun",Antlerless,Public,total_only,,,25,,,25,,,25,,,25,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1047,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,Vernal-Ouray Valley,Any Legal Weapon,Antlerless,Public,total_only,,,25,,,25,,,25,,,25,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1048,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,Fillmore City,Archery,Antlerless,Public,total_only,,,15,,,15,,,15,,,15,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1049,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,"Vernal, Ashley Valley",Archery,Antlerless,Public,total_only,,,35,,,35,,,35,,,35,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1050,Deer,2026 Antlerless Deer Permit Recommendations,Antlerless Deer,The Rose of Snowville CWMU,Any Legal Weapon,Antlerless,CWMU,resident_nonresident,,,,8,0,8,,,,8,0,8,antlerless_deer_workbook,updated_current_permits,antlerless deer.xlsx,
2026,DA1051,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Beaver City,Archery,,Public,total_only,,,,,,10,,,,,,10,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB0008,Deer,2026 Deer Hunter's Choice Permit Recommendations,Deer Hunter's Choice,Extended Archery Deer,Archery,Hunters Choice,Public,total_only,,,,,,2000,,,,,,2000,deer_hunters_choice_workbook,updated_current_permits,deer hunter's choice.xlsx,
2026,DB1000,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Archery,Archery,,Public,resident_nonresident,8,1,9,8,1,9,8,1,9,8,1,9,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1001,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Archery,Archery,,Public,resident_nonresident,26,3,29,26,3,29,26,3,29,26,3,29,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1002,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Any Legal Weapon,Any Legal Weapon,,Public,resident_nonresident,1,0,1,1,0,1,1,0,1,1,0,1,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1003,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Any Legal Weapon,Any Legal Weapon,,Public,resident_nonresident,22,3,25,24,3,27,22,3,25,24,3,27,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1004,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Any Legal Weapon,Any Legal Weapon,,Public,resident_nonresident,75,8,83,75,8,83,75,8,83,75,8,83,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
