hunt_code,join_key,source_family_presence,has_harvest,has_bonus_draw,has_antlerless_draw,harvest_model_family,bonus_draw_model_family,antlerless_draw_model_family,species,hunt_name,hunt_type,weapon,sex_type,access_type,permits_total,hunters,harvest,percent_success,avg_days,satisfaction,bonus_draw_hunt_code,bonus_draw_resident_rows,bonus_draw_row_count,bonus_draw_resident_min_point,bonus_draw_resident_max_point,bonus_draw_resident_total_applicants,bonus_draw_resident_bonus_permits,bonus_draw_resident_random_permits,bonus_draw_resident_total_permits,bonus_draw_resident_highest_point_with_permit,bonus_draw_resident_lowest_point_with_permit,bonus_draw_nonresident_rows,bonus_draw_nonresident_min_point,bonus_draw_nonresident_max_point,bonus_draw_nonresident_total_applicants,bonus_draw_nonresident_bonus_permits,bonus_draw_nonresident_random_permits,bonus_draw_nonresident_total_permits,bonus_draw_nonresident_highest_point_with_permit,bonus_draw_nonresident_lowest_point_with_permit,antlerless_draw_land_type,antlerless_draw_resident_rows,antlerless_draw_hunt_code,antlerless_draw_row_count,antlerless_resident_min_point,antlerless_resident_max_point,antlerless_draw_resident_total_applicants,antlerless_draw_resident_permits_awarded,antlerless_draw_resident_highest_point_with_permit,antlerless_draw_resident_lowest_point_with_permit,antlerless_draw_nonresident_rows,antlerless_nonresident_min_point,antlerless_nonresident_max_point,antlerless_draw_nonresident_total_applicants,antlerless_draw_nonresident_permits_awarded,antlerless_draw_nonresident_highest_point_with_permit,antlerless_draw_nonresident_lowest_point_with_permit
BI0001,BI0001,performance,True,False,False,performance,,,Bison,Antelope Island,OIAL,Any Legal Weapon,Hunter's Choice,Public,7,7,7,100.0,1.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI1000,BI1000,performance,True,False,False,performance,,,Bison,Bison - Statewide Permit,Sportsman,Any Legal Weapon,Hunter's Choice,Public,2,2,2,100.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6500,BI6500,performance,True,False,False,performance,,,Bison,Antelope Island,OIAL,Any Legal Weapon,Hunter's Choice,Public,2,2,2,100.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6503,BI6503,performance,True,False,False,performance,,,Bison,Henry Mtns,OIAL,Any Legal Weapon,Hunter's Choice,Public,15,15,14,93.3,2.4,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6504,BI6504,performance,True,False,False,performance,,,Bison,Henry Mtns,OIAL,Any Legal Weapon,Hunter's Choice,Public,13,13,13,100.0,4.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6505,BI6505,performance,True,False,False,performance,,,Bison,Henry Mtns,OIAL,Any Legal Weapon,Female Only,Public,28,28,22,78.6,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6506,BI6506,performance,True,False,False,performance,,,Bison,Henry Mtns,OIAL,Any Legal Weapon,Female Only,Public,29,29,27,93.1,5.5,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6509,BI6509,performance,True,False,False,performance,,,Bison,Henry Mtns,OIAL,Archery,Hunter's Choice,Public,3,3,2,66.7,7.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6516,BI6516,performance,True,False,False,performance,,,Bison,Henry Mtns,OIAL,Any Legal Weapon,Hunter's Choice,Public,13,13,13,100.0,3.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6527,BI6527,performance,True,False,False,performance,,,Bison,Nine Mile,OIAL,Any Legal Weapon,Hunter's Choice,Public,18,15,0,0.0,9.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6528,BI6528,performance,True,False,False,performance,,,Bison,"Book Cliffs, Little Creek/South",OIAL,Archery,Hunter's Choice,Public,5,5,5,100.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6529,BI6529,performance,True,False,False,performance,,,Bison,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,Female Only,Public,5,5,4,80.0,1.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6531,BI6531,performance,True,False,False,performance,,,Bison,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,Hunter's Choice,Public,8,7,6,85.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6532,BI6532,performance,True,False,False,performance,,,Bison,"Book Cliffs, Bitter Creek",OIAL,Archery,Hunter's Choice,Public,4,3,3,100.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6534,BI6534,performance,True,False,False,performance,,,Bison,"Book Cliffs, Bitter Creek",OIAL,Any Legal Weapon,Hunter's Choice,Public,5,4,4,100.0,2.5,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6535,BI6535,performance,True,False,False,performance,,,Bison,"Book Cliffs, Bitter Creek",OIAL,Any Legal Weapon,Hunter's Choice,Public,5,5,5,100.0,4.2,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6536,BI6536,performance,True,False,False,performance,,,Bison,"Book Cliffs, Bitter Creek",OIAL,Any Legal Weapon,Female Only,Public,3,3,2,66.7,4.3,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI6537,BI6537,performance,True,False,False,performance,,,Bison,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,Hunter's Choice,Public,11,11,10,90.9,3.7,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA1001,DA1001,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"Box Elder, West Bear River",Antlerless,Any Legal Weapon,Female Only,Public,29,22,5,22.7,4.4,3.0,,,,,,,,,,,,,,,,,,,,,public,20,DA1001,40,0,19,68,24,5,1,20,0,19,0,0,,
DA1002,DA1002,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"Box Elder, West Bear River",Antlerless,Any Legal Weapon,Female Only,Public,29,17,3,17.6,2.4,2.8,,,,,,,,,,,,,,,,,,,,,public,20,DA1002,40,0,19,102,24,6,2,20,0,19,0,0,,
DA1003,DA1003,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"Monroe/Plateau, Sevier Valley",Antlerless,"Archery, Muzzleloader, Shotgun",Female Only,Public,14,7,1,14.3,2.7,3.8,,,,,,,,,,,,,,,,,,,,,public,20,DA1003,40,0,19,248,11,8,5,20,0,19,7,1,5,5
DA1009,DA1009,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"Pine Valley, Enterprise",Antlerless,Any Legal Weapon,Female Only,Public,25,23,23,100.0,1.6,4.6,,,,,,,,,,,,,,,,,,,,,public,20,DA1009,40,0,19,1438,20,10,7,20,0,19,136,0,,
DA1011,DA1011,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,George Creek,CWMU Antlerless,Any Legal Weapon,Female Only,CWMU,5,5,4,80.0,1.4,4.6,,,,,,,,,,,,,,,,,,,,,cwmu,20,DA1011,40,0,19,116,4,9,7,20,0,19,0,0,,
DA1012,DA1012,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,Junction Valley,CWMU Antlerless,Any Legal Weapon,Female Only,CWMU,15,14,14,100.0,1.8,5.0,,,,,,,,,,,,,,,,,,,,,cwmu,20,DA1012,40,0,19,556,12,13,9,20,0,19,0,0,,
DA1013,DA1013,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,Mt Carmel,CWMU Antlerless,Any Legal Weapon,Female Only,CWMU,5,4,3,75.0,2.0,4.8,,,,,,,,,,,,,,,,,,,,,cwmu,20,DA1013,40,0,19,167,4,8,8,20,0,19,0,0,,
DA1018,DA1018,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"Pine Valley, New Harmony",Antlerless,"Archery, Muzzleloader, Shotgun",Female Only,Public,18,15,8,53.3,5.1,3.4,,,,,,,,,,,,,,,,,,,,,public,20,DA1018,40,0,19,194,15,8,5,20,0,19,13,1,6,6
DA1027,DA1027,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"East Canyon, Davis-North Salt Lake",Antlerless,Any Legal Weapon,Female Only,Public,30,27,19,70.4,2.7,4.2,,,,,,,,,,,,,,,,,,,,,public,20,DA1027,40,0,19,2199,24,8,7,20,0,19,20,0,,
DA1030,DA1030,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"Nine Mile, Price River Valley",Antlerless,Archery,Female Only,Public,24,14,2,14.3,3.8,2.8,,,,,,,,,,,,,,,,,,,,,public,20,DA1030,40,0,19,90,19,6,2,20,0,19,4,1,3,3
DA1031,DA1031,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"Oquirrh-Stansbury, Settlement Cyn",Antlerless,Archery,Female Only,Public,20,15,11,73.3,4.7,3.5,,,,,,,,,,,,,,,,,,,,,public,20,DA1031,40,0,19,406,16,8,6,20,0,19,2,0,,
DA1033,DA1033,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"San Juan, Monticello",Antlerless,Archery,Female Only,Public,5,5,4,80.0,1.8,4.6,,,,,,,,,,,,,,,,,,,,,public,20,DA1033,40,0,19,40,4,4,4,20,0,19,3,0,,
DA1041,DA1041,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"Nine Mile, Green River Valley",Antlerless,Any Legal Weapon,Female Only,Public,15,10,6,60.0,2.3,3.8,,,,,,,,,,,,,,,,,,,,,public,20,DA1041,40,0,19,196,11,7,4,20,0,19,20,1,4,4
DA1042,DA1042,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"San Juan, Monticello",Antlerless,Archery,Female Only,Public,5,4,4,100.0,1.7,4.0,,,,,,,,,,,,,,,,,,,,,public,20,DA1042,40,0,19,30,4,4,4,20,0,19,4,0,,
