hunt_code,join_key,source_family_presence,has_harvest,has_bonus_draw,has_antlerless_draw,harvest_model_family,bonus_draw_model_family,antlerless_draw_model_family,species,hunt_name,hunt_type,weapon,sex_type,access_type,permits_total,hunters,harvest,percent_success,avg_days,satisfaction,bonus_draw_hunt_code,bonus_draw_resident_rows,bonus_draw_row_count,bonus_draw_resident_min_point,bonus_draw_resident_max_point,bonus_draw_resident_total_applicants,bonus_draw_resident_bonus_permits,bonus_draw_resident_random_permits,bonus_draw_resident_total_permits,bonus_draw_resident_highest_point_with_permit,bonus_draw_resident_lowest_point_with_permit,bonus_draw_nonresident_rows,bonus_draw_nonresident_min_point,bonus_draw_nonresident_max_point,bonus_draw_nonresident_total_applicants,bonus_draw_nonresident_bonus_permits,bonus_draw_nonresident_random_permits,bonus_draw_nonresident_total_permits,bonus_draw_nonresident_highest_point_with_permit,bonus_draw_nonresident_lowest_point_with_permit,antlerless_draw_land_type,antlerless_draw_resident_rows,antlerless_draw_hunt_code,antlerless_draw_row_count,antlerless_resident_min_point,antlerless_resident_max_point,antlerless_draw_resident_total_applicants,antlerless_draw_resident_permits_awarded,antlerless_draw_resident_highest_point_with_permit,antlerless_draw_resident_lowest_point_with_permit,antlerless_draw_nonresident_rows,antlerless_nonresident_min_point,antlerless_nonresident_max_point,antlerless_draw_nonresident_total_applicants,antlerless_draw_nonresident_permits_awarded,antlerless_draw_nonresident_highest_point_with_permit,antlerless_draw_nonresident_lowest_point_with_permit
DA1045,DA1045,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"Fillmore, Oak City",Antlerless,Archery,Female Only,Public,18,12,5,41.7,4.2,3.8,,,,,,,,,,,,,,,,,,,,,public,20,DA1045,40,0,19,63,16,6,2,20,0,19,0,0,,
DA1046,DA1046,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"Nine Mile, Price River Valley",Antlerless,"Archery, Muzzleloader, Shotgun",Female Only,Public,25,20,10,50.0,5.2,3.0,,,,,,,,,,,,,,,,,,,,,public,20,DA1046,40,0,19,85,20,6,2,20,0,19,0,0,,
DA1047,DA1047,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,Vernal-Ouray Valley,Antlerless,Any Legal Weapon,Female Only,Public,23,15,4,26.7,3.5,1.6,,,,,,,,,,,,,,,,,,,,,public,20,DA1047,40,0,19,774,18,13,5,20,0,19,30,2,6,6
DA1048,DA1048,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,Fillmore City,Antlerless,Archery,Female Only,Public,14,8,2,25.0,4.7,2.4,,,,,,,,,,,,,,,,,,,,,public,20,DA1048,40,0,19,54,12,5,2,20,0,19,1,0,,
DA1049,DA1049,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,"Vernal, Ashley Valley",Antlerless,Archery,Female Only,Public,35,27,9,33.3,6.1,3.2,,,,,,,,,,,,,,,,,,,,,public,20,DA1049,40,0,19,108,27,7,1,20,0,19,2,1,1,1
DA1050,DA1050,performance|preference_threshold,True,False,True,performance,,preference_threshold,Deer,The Rose of Snowville,CWMU Antlerless,Any Legal Weapon,Female Only,CWMU,10,8,6,75.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,cwmu,20,DA1050,40,0,19,159,7,8,6,20,0,19,0,0,,
DB0007,DB0007,performance,True,False,False,performance,,,Deer,Buck Deer - Statewide Permit,Sportsman,Any Legal Weapon,Male Only,Public,2,2,2,100.0,8.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB0008,DB0008,performance,True,False,False,performance,,,Deer,Deer Extended Archery Only,General Season,Extended Archery,Hunter's Choice,Public,1904,1352,288,21.3,9.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB0009,DB0009,performance,True,False,False,performance,,,Deer,Antelope Island,Premium Limited Entry,Any Legal Weapon,Male Only,Public,1,1,1,100.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB1000,DB1000,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Henry Mtns,Premium Limited Entry,Archery,Male Only,Public,9,9,9,100.0,10.3,4.1,DB1000,33,66,0,32,508,4,4,8,24,4,33,0,32,692,0,1,1,5,5,,,,,,,,,,,,,,,,,
DB1001,DB1001,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Paunsaugunt,Premium Limited Entry,Archery,Male Only,Public,34,34,23,67.6,12.1,3.8,DB1001,33,66,0,32,760,13,12,25,22,3,33,0,32,901,2,1,3,26,15,,,,,,,,,,,,,,,,,
DB1002,DB1002,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Antelope Island,Premium Limited Entry,Any Legal Weapon,Male Only,Public,1,1,1,100.0,1.0,5.0,DB1002,33,66,0,32,1801,0,1,1,11,11,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1003,DB1003,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Henry Mtns,Premium Limited Entry,Any Legal Weapon,Male Only,Public,27,26,26,100.0,3.5,3.6,DB1003,33,66,0,32,2657,11,10,21,26,9,33,0,32,3376,10,1,3,28,13,,,,,,,,,,,,,,,,,
DB1004,DB1004,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Paunsaugunt,Premium Limited Entry,Any Legal Weapon,Male Only,Public,90,88,82,93.2,6.7,4.1,DB1004,33,66,0,32,3871,37,36,73,26,3,33,0,32,3427,15,2,17,29,16,,,,,,,,,,,,,,,,,
DB1005,DB1005,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Henry Mtns,Premium Limited Entry,Muzzleloader,Male Only,Public,10,10,9,90.0,5.6,4.3,DB1005,33,66,0,32,356,4,4,8,25,12,33,0,32,411,0,1,1,12,12,,,,,,,,,,,,,,,,,
DB1006,DB1006,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Paunsaugunt,Premium Limited Entry,Muzzleloader,Male Only,Public,30,30,21,70.0,5.7,3.9,DB1006,33,66,0,32,517,13,12,25,23,5,33,0,32,406,2,1,3,27,21,,,,,,,,,,,,,,,,,
DB1007,DB1007,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Henry Mtns,Premium Limited Entry,Multiseason,Male Only,Public,2,2,2,100.0,11.0,4.5,DB1007,33,66,0,32,488,0,1,1,6,6,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1008,DB1008,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Paunsaugunt,Premium Limited Entry,Multiseason,Male Only,Public,6,6,6,100.0,22.0,4.7,DB1008,33,66,0,32,570,2,1,3,27,14,33,0,32,374,0,1,1,1,1,,,,,,,,,,,,,,,,,
DB1009,DB1009,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Henry Mtns,Management Buck,Any Legal Weapon,Male Only,Public,11,11,11,100.0,2.2,4.6,DB1009,33,66,0,32,198,5,5,10,24,4,33,0,32,102,0,1,1,8,8,,,,,,,,,,,,,,,,,
DB1010,DB1010,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Paunsaugunt,Management Buck,Any Legal Weapon,Male Only,Public,29,28,26,92.9,4.9,4.6,DB1010,33,66,0,32,617,12,11,23,19,0,33,0,32,222,2,1,3,23,20,,,,,,,,,,,,,,,,,
DB1011,DB1011,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Book Cliffs,Limited Entry,Archery,Male Only,Public,52,50,44,88.0,6.6,4.6,DB1011,33,66,0,32,831,22,22,44,17,2,33,0,32,268,2,2,4,20,10,,,,,,,,,,,,,,,,,
DB1012,DB1012,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"Fillmore, Oak Creek LE",Limited Entry,Archery,Male Only,Public,13,13,11,84.6,9.2,4.4,DB1012,33,66,0,32,321,6,5,11,20,2,33,0,32,226,0,1,1,15,15,,,,,,,,,,,,,,,,,
DB1013,DB1013,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Dolores Triangle,Limited Entry,Archery,Male Only,Public,4,4,2,50.0,7.5,3.3,DB1013,33,66,0,32,86,2,2,4,15,5,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1014,DB1014,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"San Juan, Elk Ridge",Limited Entry,Archery,Male Only,Public,17,17,17,100.0,5.3,3.7,DB1014,33,66,0,32,496,7,7,14,22,5,33,0,32,272,1,1,2,27,8,,,,,,,,,,,,,,,,,
DB1015,DB1015,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Diamond Mtn,Limited Entry,Archery,Male Only,Public,23,22,19,86.4,7.6,4.0,DB1015,33,66,0,32,198,10,9,19,13,0,33,0,32,122,1,1,2,18,7,,,,,,,,,,,,,,,,,
DB1016,DB1016,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"West Desert, Vernon",Limited Entry,Archery,Male Only,Public,51,51,29,56.9,8.8,4.1,DB1016,33,66,0,32,368,20,19,39,16,1,33,0,32,91,2,2,4,19,8,,,,,,,,,,,,,,,,,
DB1017,DB1017,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"Book Cliffs, North",Limited Entry,Any Legal Weapon,Male Only,Public,128,125,117,93.6,3.7,4.1,DB1017,33,66,0,32,2454,56,55,111,21,0,33,0,32,628,6,6,12,25,10,,,,,,,,,,,,,,,,,
DB1018,DB1018,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"Book Cliffs, South",Limited Entry,Any Legal Weapon,Male Only,Public,31,31,31,100.0,3.7,4.5,DB1018,33,66,0,32,679,14,13,27,17,5,33,0,32,260,1,1,2,24,8,,,,,,,,,,,,,,,,,
DB1019,DB1019,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"Fillmore, Oak Creek LE",Limited Entry,Any Legal Weapon,Male Only,Public,40,40,38,95.0,4.4,3.9,DB1019,33,66,0,32,2408,15,14,29,25,1,33,0,32,857,4,1,3,26,16,,,,,,,,,,,,,,,,,
DB1020,DB1020,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Dolores Triangle,Limited Entry,Any Legal Weapon,Male Only,Public,12,12,12,100.0,4.0,4.4,DB1020,33,66,0,32,507,6,5,11,21,3,33,0,32,444,0,1,1,5,5,,,,,,,,,,,,,,,,,
DB1022,DB1022,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"San Juan, Elk Ridge",Limited Entry,Any Legal Weapon,Male Only,Public,45,45,40,88.9,4.8,3.9,DB1022,33,66,0,32,864,20,19,39,21,3,33,0,32,434,2,1,3,26,7,,,,,,,,,,,,,,,,,
DB1023,DB1023,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Diamond Mtn,Limited Entry,Any Legal Weapon,Male Only,Public,64,64,62,96.9,3.4,4.1,DB1023,33,66,0,32,952,28,27,55,18,0,33,0,32,320,3,2,5,21,11,,,,,,,,,,,,,,,,,
DB1024,DB1024,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"West Desert, Vernon",Limited Entry,Any Legal Weapon,Male Only,Public,154,151,129,85.4,4.4,3.5,DB1024,33,66,0,32,2659,58,57,115,22,0,33,0,32,462,6,6,12,25,10,,,,,,,,,,,,,,,,,
DB1025,DB1025,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Book Cliffs,Limited Entry,Muzzleloader,Male Only,Public,51,50,43,86.0,3.8,4.2,DB1025,33,66,0,32,473,22,21,43,18,0,33,0,32,115,2,2,4,21,10,,,,,,,,,,,,,,,,,
DB1026,DB1026,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"Cache, Crawford Mtn",Limited Entry,Muzzleloader,Male Only,Public,8,8,8,100.0,4.8,3.9,DB1026,33,66,0,32,252,3,3,6,18,8,33,0,32,64,0,1,1,14,14,,,,,,,,,,,,,,,,,
DB1028,DB1028,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Fillmore,Limited Entry on General Season,Muzzleloader,Male Only,Public,11,10,7,70.0,7.2,3.3,DB1028,33,66,0,32,99,5,5,10,20,6,33,0,32,27,0,1,1,14,14,,,,,,,,,,,,,,,,,
DB1029,DB1029,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"Fillmore, Oak Creek LE",Limited Entry,Muzzleloader,Male Only,Public,15,15,12,80.0,6.0,4.3,DB1029,33,66,0,32,256,6,5,11,27,9,33,0,32,190,0,1,1,9,9,,,,,,,,,,,,,,,,,
DB1030,DB1030,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Kamas,Limited Entry on General Season,Muzzleloader,Male Only,Public,6,6,6,100.0,5.5,3.8,DB1030,33,66,0,32,25,3,2,5,5,3,33,0,32,5,0,1,1,4,4,,,,,,,,,,,,,,,,,
DB1031,DB1031,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Dolores Triangle,Limited Entry,Muzzleloader,Male Only,Public,4,4,4,100.0,6.5,4.0,DB1031,33,66,0,32,102,2,2,4,20,11,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1032,DB1032,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Monroe,Limited Entry on General Season,Muzzleloader,Male Only,Public,6,6,4,66.7,6.5,3.7,DB1032,33,66,0,32,31,3,2,5,13,6,33,0,32,11,0,1,1,15,15,,,,,,,,,,,,,,,,,
DB1033,DB1033,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Nine Mile,Limited Entry on General Season,Muzzleloader,Male Only,Public,6,6,6,100.0,4.5,4.0,DB1033,33,66,0,32,54,3,3,6,10,2,33,0,32,12,0,1,1,12,12,,,,,,,,,,,,,,,,,
DB1034,DB1034,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Pine Valley,Limited Entry on General Season,Muzzleloader,Male Only,Public,15,15,8,53.3,6.7,2.6,DB1034,33,66,0,32,163,6,6,12,16,4,33,0,32,94,1,1,2,22,11,,,,,,,,,,,,,,,,,
DB1037,DB1037,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"San Juan, Elk Ridge",Limited Entry,Muzzleloader,Male Only,Public,17,16,14,87.5,4.6,3.8,DB1037,33,66,0,32,240,7,7,14,22,7,33,0,32,92,1,1,2,22,16,,,,,,,,,,,,,,,,,
DB1038,DB1038,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Diamond Mtn,Limited Entry,Muzzleloader,Male Only,Public,23,23,21,91.3,3.6,3.6,DB1038,33,66,0,32,122,10,9,19,15,6,33,0,32,59,1,1,2,19,5,,,,,,,,,,,,,,,,,
DB1039,DB1039,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Yellowstone,Limited Entry on General Season,Muzzleloader,Male Only,Public,7,7,7,100.0,5.1,3.6,DB1039,33,66,0,32,47,3,3,6,13,5,33,0,32,6,0,1,1,8,8,,,,,,,,,,,,,,,,,
DB1040,DB1040,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Southwest Desert,Limited Entry on General Season,Muzzleloader,Male Only,Public,5,5,3,60.0,7.4,2.8,DB1040,33,66,0,32,63,2,2,4,18,5,33,0,32,37,0,1,1,16,16,,,,,,,,,,,,,,,,,
DB1041,DB1041,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"Wasatch Mtns, East",Limited Entry on General Season,Muzzleloader,Male Only,Public,30,30,19,63.3,5.8,3.4,DB1041,33,66,0,32,221,13,13,26,12,4,33,0,32,27,2,1,3,16,3,,,,,,,,,,,,,,,,,
DB1042,DB1042,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"West Desert, Vernon",Limited Entry,Muzzleloader,Male Only,Public,50,50,44,88.0,4.6,3.7,DB1042,33,66,0,32,300,20,20,40,21,2,33,0,32,60,2,2,4,23,2,,,,,,,,,,,,,,,,,
DB1043,DB1043,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Zion,Limited Entry on General Season,Muzzleloader,Male Only,Public,15,15,7,46.7,6.4,2.8,DB1043,33,66,0,32,78,6,6,12,15,4,33,0,32,36,1,1,2,22,14,,,,,,,,,,,,,,,,,
DB1044,DB1044,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,Book Cliffs,Limited Entry,Multiseason,Male Only,Public,9,9,9,100.0,15.3,4.0,DB1044,33,66,0,32,255,3,3,6,22,9,33,0,32,93,0,1,1,5,5,,,,,,,,,,,,,,,,,
DB1045,DB1045,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"Fillmore, Oak Creek LE",Limited Entry,Multiseason,Male Only,Public,3,3,3,100.0,30.3,3.7,DB1045,33,66,0,32,255,1,1,2,28,13,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
DB1046,DB1046,performance|bonus_draw_probability,True,True,False,performance,bonus_draw_probability,,Deer,"San Juan, Elk Ridge",Limited Entry,Multiseason,Male Only,Public,3,3,2,66.7,20.0,2.7,DB1046,33,66,0,32,105,1,1,2,25,23,33,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,
