hunt_code,residency,point_level,applicants,bonus_permits,random_permits,total_permits,success_ratio_text
DB1000,Resident,0,38,0,0,0,N/A
DB1001,Nonresident,32,0,0,0,0,N/A
DB1001,Nonresident,31,0,0,0,0,N/A
DB1001,Nonresident,30,0,0,0,0,N/A
DB1001,Nonresident,29,0,0,0,0,N/A
DB1001,Nonresident,28,0,0,0,0,N/A
DB1001,Nonresident,27,0,0,0,0,N/A
DB1001,Nonresident,26,2,2,0,2,1 in 1.0
DB1001,Nonresident,25,6,0,0,0,N/A
DB1001,Nonresident,24,5,0,0,0,N/A
DB1001,Nonresident,23,7,0,0,0,N/A
DB1001,Nonresident,22,5,0,0,0,N/A
DB1001,Nonresident,21,1,0,0,0,N/A
DB1001,Nonresident,20,5,0,0,0,N/A
DB1001,Nonresident,19,11,0,0,0,N/A
DB1001,Nonresident,18,14,0,0,0,N/A
DB1001,Nonresident,17,18,0,0,0,N/A
DB1001,Nonresident,16,68,0,0,0,N/A
DB1001,Nonresident,15,35,0,1,1,1 in 35.0
DB1001,Nonresident,14,38,0,0,0,N/A
DB1001,Nonresident,13,25,0,0,0,N/A
DB1001,Nonresident,12,33,0,0,0,N/A
DB1001,Nonresident,11,51,0,0,0,N/A
DB1001,Nonresident,10,38,0,0,0,N/A
DB1001,Nonresident,9,55,0,0,0,N/A
DB1001,Nonresident,8,48,0,0,0,N/A
DB1001,Nonresident,7,48,0,0,0,N/A
DB1001,Nonresident,6,58,0,0,0,N/A
DB1001,Nonresident,5,47,0,0,0,N/A
DB1001,Nonresident,4,64,0,0,0,N/A
DB1001,Nonresident,3,64,0,0,0,N/A
DB1001,Nonresident,2,49,0,0,0,N/A
DB1001,Nonresident,1,58,0,0,0,N/A
DB1001,Nonresident,0,48,0,0,0,N/A
DB1001,Resident,32,0,0,0,0,N/A
DB1001,Resident,31,0,0,0,0,N/A
DB1001,Resident,30,0,0,0,0,N/A
DB1001,Resident,29,0,0,0,0,N/A
DB1001,Resident,28,0,0,0,0,N/A
DB1001,Resident,27,0,0,0,0,N/A
DB1001,Resident,26,0,0,0,0,N/A
DB1001,Resident,25,0,0,0,0,N/A
DB1001,Resident,24,0,0,0,0,N/A
DB1001,Resident,23,0,0,0,0,N/A
DB1001,Resident,22,2,2,0,2,1 in 1.0
DB1001,Resident,21,4,4,0,4,1 in 1.0
DB1001,Resident,20,21,7,0,7,1 in 3.0
DB1001,Resident,19,19,0,1,1,1 in 19.0
