hunt_code,residency,species,hunt_name,weapon,hunt_type,access_type,join_key,source_family_presence,harvest_model_family,bonus_draw_model_family,antlerless_draw_model_family,success_hunters,success_harvest,success_percent,public_permits_2025,public_permits_2026,applicants_2025,projected_applicants_2026,max_point_permits_2026,random_permits_2026,guaranteed_at_2026,delta_gap,trend,engine_point_rows,modeled_min_points,modeled_max_points,has_master_record,has_permits,has_draw_history,has_projection,has_engine_model,has_ladder_rows,has_context_metrics,ladder_row_count,coverage_status,coverage_reason
DA1011,Nonresident,Deer,George Creek,Any Legal Weapon,CWMU Antlerless,CWMU,DA1011,performance|preference_threshold,performance,,preference_threshold,5,4,80.0,0,0,0,0,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1012,Resident,Deer,Junction Valley,Any Legal Weapon,CWMU Antlerless,CWMU,DA1012,performance|preference_threshold,performance,,preference_threshold,14,14,100.0,12,15,556,556,15,0,10,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1012,Nonresident,Deer,Junction Valley,Any Legal Weapon,CWMU Antlerless,CWMU,DA1012,performance|preference_threshold,performance,,preference_threshold,14,14,100.0,0,0,0,0,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1013,Resident,Deer,Mt Carmel,Any Legal Weapon,CWMU Antlerless,CWMU,DA1013,performance|preference_threshold,performance,,preference_threshold,4,3,75.0,4,5,167,167,5,0,9,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1013,Nonresident,Deer,Mt Carmel,Any Legal Weapon,CWMU Antlerless,CWMU,DA1013,performance|preference_threshold,performance,,preference_threshold,4,3,75.0,0,0,0,0,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1018,Resident,Deer,"Pine Valley, New Harmony","Archery, Muzzleloader, Shotgun",Antlerless,Public,DA1018,performance|preference_threshold,performance,,preference_threshold,15,8,53.3,15,15,194,194,15,0,6,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1018,Nonresident,Deer,"Pine Valley, New Harmony","Archery, Muzzleloader, Shotgun",Antlerless,Public,DA1018,performance|preference_threshold,performance,,preference_threshold,15,8,53.3,1,1,13,13,1,0,4,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1027,Resident,Deer,"East Canyon, Davis-North Salt Lake",Any Legal Weapon,Antlerless,Public,DA1027,performance|preference_threshold,performance,,preference_threshold,27,19,70.4,24,24,2199,2199,24,0,8,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1027,Nonresident,Deer,"East Canyon, Davis-North Salt Lake",Any Legal Weapon,Antlerless,Public,DA1027,performance|preference_threshold,performance,,preference_threshold,27,19,70.4,0,,20,20,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1030,Resident,Deer,"Nine Mile, Price River Valley",Archery,Antlerless,Public,DA1030,performance|preference_threshold,performance,,preference_threshold,14,2,14.3,19,19,90,90,19,0,3,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1030,Nonresident,Deer,"Nine Mile, Price River Valley",Archery,Antlerless,Public,DA1030,performance|preference_threshold,performance,,preference_threshold,14,2,14.3,1,1,4,4,1,0,3,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1031,Resident,Deer,"Oquirrh-Stansbury, Settlement Cyn",Archery,Antlerless,Public,DA1031,performance|preference_threshold,performance,,preference_threshold,15,11,73.3,16,16,406,406,16,0,7,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1031,Nonresident,Deer,"Oquirrh-Stansbury, Settlement Cyn",Archery,Antlerless,Public,DA1031,performance|preference_threshold,performance,,preference_threshold,15,11,73.3,0,,2,2,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1033,Resident,Deer,"San Juan, Monticello",Archery,Antlerless,Public,DA1033,performance|preference_threshold,performance,,preference_threshold,5,4,80.0,4,4,40,40,4,0,5,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1033,Nonresident,Deer,"San Juan, Monticello",Archery,Antlerless,Public,DA1033,performance|preference_threshold,performance,,preference_threshold,5,4,80.0,0,,3,3,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1041,Resident,Deer,"Nine Mile, Green River Valley",Any Legal Weapon,Antlerless,Public,DA1041,performance|preference_threshold,performance,,preference_threshold,10,6,60.0,11,11,196,196,11,0,5,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1041,Nonresident,Deer,"Nine Mile, Green River Valley",Any Legal Weapon,Antlerless,Public,DA1041,performance|preference_threshold,performance,,preference_threshold,10,6,60.0,1,1,20,20,1,0,5,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1042,Resident,Deer,"San Juan, Monticello",Archery,Antlerless,Public,DA1042,performance|preference_threshold,performance,,preference_threshold,4,4,100.0,4,4,30,30,4,0,5,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1042,Nonresident,Deer,"San Juan, Monticello",Archery,Antlerless,Public,DA1042,performance|preference_threshold,performance,,preference_threshold,4,4,100.0,0,,4,4,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1045,Resident,Deer,"Fillmore, Oak City",Archery,Antlerless,Public,DA1045,performance|preference_threshold,performance,,preference_threshold,12,5,41.7,16,16,63,63,16,0,3,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1045,Nonresident,Deer,"Fillmore, Oak City",Archery,Antlerless,Public,DA1045,performance|preference_threshold,performance,,preference_threshold,12,5,41.7,0,,0,0,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1046,Resident,Deer,"Nine Mile, Price River Valley","Archery, Muzzleloader, Shotgun",Antlerless,Public,DA1046,performance|preference_threshold,performance,,preference_threshold,20,10,50.0,20,20,85,85,20,0,3,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1046,Nonresident,Deer,"Nine Mile, Price River Valley","Archery, Muzzleloader, Shotgun",Antlerless,Public,DA1046,performance|preference_threshold,performance,,preference_threshold,20,10,50.0,0,,0,0,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1047,Resident,Deer,Vernal-Ouray Valley,Any Legal Weapon,Antlerless,Public,DA1047,performance|preference_threshold,performance,,preference_threshold,15,4,26.7,18,18,774,774,18,0,6,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1047,Nonresident,Deer,Vernal-Ouray Valley,Any Legal Weapon,Antlerless,Public,DA1047,performance|preference_threshold,performance,,preference_threshold,15,4,26.7,2,2,30,30,2,0,5,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1048,Resident,Deer,Fillmore City,Archery,Antlerless,Public,DA1048,performance|preference_threshold,performance,,preference_threshold,8,2,25.0,12,12,54,54,12,0,2,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1048,Nonresident,Deer,Fillmore City,Archery,Antlerless,Public,DA1048,performance|preference_threshold,performance,,preference_threshold,8,2,25.0,0,,1,1,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1049,Resident,Deer,"Vernal, Ashley Valley",Archery,Antlerless,Public,DA1049,performance|preference_threshold,performance,,preference_threshold,27,9,33.3,27,27,108,108,27,0,2,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1049,Nonresident,Deer,"Vernal, Ashley Valley",Archery,Antlerless,Public,DA1049,performance|preference_threshold,performance,,preference_threshold,27,9,33.3,1,1,2,2,1,0,2,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1050,Resident,Deer,The Rose of Snowville,Any Legal Weapon,CWMU Antlerless,CWMU,DA1050,performance|preference_threshold,performance,,preference_threshold,8,6,75.0,7,8,159,159,8,0,7,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1050,Nonresident,Deer,The Rose of Snowville,Any Legal Weapon,CWMU Antlerless,CWMU,DA1050,performance|preference_threshold,performance,,preference_threshold,8,6,75.0,0,0,0,0,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DB0007,Resident,Deer,Buck Deer - Statewide Permit,Any Legal Weapon,Sportsman,Public,DB0007,performance,performance,,,2,2,100.0,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,CONTEXT_ONLY,excluded_special_permit_class
DB0007,Nonresident,Deer,Buck Deer - Statewide Permit,Any Legal Weapon,Sportsman,Public,DB0007,performance,performance,,,2,2,100.0,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,CONTEXT_ONLY,excluded_special_permit_class
DB0008,Resident,Deer,Deer Extended Archery Only,Extended Archery,General Season,Public,DB0008,performance,performance,,,1352,288,21.3,0,,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
DB0008,Nonresident,Deer,Deer Extended Archery Only,Extended Archery,General Season,Public,DB0008,performance,performance,,,1352,288,21.3,0,,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
DB0009,Resident,Deer,Antelope Island,Any Legal Weapon,Premium Limited Entry,Public,DB0009,performance,performance,,,1,1,100.0,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,CONTEXT_ONLY,excluded_special_permit_class
DB0009,Nonresident,Deer,Antelope Island,Any Legal Weapon,Premium Limited Entry,Public,DB0009,performance,performance,,,1,1,100.0,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,CONTEXT_ONLY,excluded_special_permit_class
DB1000,Resident,Deer,Henry Mtns,Archery,Premium Limited Entry,Public,DB1000,performance|bonus_draw_probability,performance,bonus_draw_probability,,9,9,100.0,8,8,508,500,4,4,24,0,YELLOW,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
DB1000,Nonresident,Deer,Henry Mtns,Archery,Premium Limited Entry,Public,DB1000,performance|bonus_draw_probability,performance,bonus_draw_probability,,9,9,100.0,1,1,692,691,1,0,26,0,YELLOW,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
DB1001,Resident,Deer,Paunsaugunt,Archery,Premium Limited Entry,Public,DB1001,performance|bonus_draw_probability,performance,bonus_draw_probability,,34,23,67.6,25,26,760,735,13,13,22,0,YELLOW,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
DB1001,Nonresident,Deer,Paunsaugunt,Archery,Premium Limited Entry,Public,DB1001,performance|bonus_draw_probability,performance,bonus_draw_probability,,34,23,67.6,3,3,901,898,2,1,27,0,YELLOW,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
DB1002,Resident,Deer,Antelope Island,Any Legal Weapon,Premium Limited Entry,Public,DB1002,performance|bonus_draw_probability,performance,bonus_draw_probability,,1,1,100.0,1,1,1801,1800,0,1,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
DB1002,Nonresident,Deer,Antelope Island,Any Legal Weapon,Premium Limited Entry,Public,DB1002,performance|bonus_draw_probability,performance,bonus_draw_probability,,1,1,100.0,0,0,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
DB1003,Resident,Deer,Henry Mtns,Any Legal Weapon,Premium Limited Entry,Public,DB1003,performance|bonus_draw_probability,performance,bonus_draw_probability,,26,26,100.0,21,24,2657,2636,12,12,27,0,YELLOW,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
DB1003,Nonresident,Deer,Henry Mtns,Any Legal Weapon,Premium Limited Entry,Public,DB1003,performance|bonus_draw_probability,performance,bonus_draw_probability,,26,26,100.0,3,3,3376,3408,2,1,30,0,YELLOW,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
DB1004,Resident,Deer,Paunsaugunt,Any Legal Weapon,Premium Limited Entry,Public,DB1004,performance|bonus_draw_probability,performance,bonus_draw_probability,,88,82,93.2,73,75,3871,3798,37,38,24,0,YELLOW,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
