hunt_code,residency,species,hunt_name,weapon,hunt_type,access_type,join_key,source_family_presence,harvest_model_family,bonus_draw_model_family,antlerless_draw_model_family,success_hunters,success_harvest,success_percent,public_permits_2025,public_permits_2026,applicants_2025,projected_applicants_2026,max_point_permits_2026,random_permits_2026,guaranteed_at_2026,delta_gap,trend,engine_point_rows,modeled_min_points,modeled_max_points,has_master_record,has_permits,has_draw_history,has_projection,has_engine_model,has_ladder_rows,has_context_metrics,ladder_row_count,coverage_status,coverage_reason
BI1000,Resident,Bison,Bison - Statewide Permit,Any Legal Weapon,Sportsman,Public,BI1000,performance,performance,,,2,2,100.0,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,CONTEXT_ONLY,excluded_special_permit_class
BI1000,Nonresident,Bison,Bison - Statewide Permit,Any Legal Weapon,Sportsman,Public,BI1000,performance,performance,,,2,2,100.0,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,CONTEXT_ONLY,excluded_special_permit_class
BI6500,Resident,Bison,Antelope Island,Any Legal Weapon,OIAL,Public,BI6500,performance,performance,,,2,2,100.0,2,2,3249,3247,1,1,31,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6500,Nonresident,Bison,Antelope Island,Any Legal Weapon,OIAL,Public,BI6500,performance,performance,,,2,2,100.0,0,0,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6503,Resident,Bison,Henry Mtns,Any Legal Weapon,OIAL,Public,BI6503,performance,performance,,,15,14,93.3,4,4,4964,4960,2,2,30,0,YELLOW,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6503,Nonresident,Bison,Henry Mtns,Any Legal Weapon,OIAL,Public,BI6503,performance,performance,,,15,14,93.3,2,2,3798,3796,1,1,30,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6504,Resident,Bison,Henry Mtns,Any Legal Weapon,OIAL,Public,BI6504,performance,performance,,,13,13,100.0,5,5,1761,1756,2,3,28,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6504,Nonresident,Bison,Henry Mtns,Any Legal Weapon,OIAL,Public,BI6504,performance,performance,,,13,13,100.0,2,2,1720,1718,1,1,30,0,YELLOW,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6505,Resident,Bison,Henry Mtns,Any Legal Weapon,OIAL,Public,BI6505,performance,performance,,,28,22,78.6,25,8,343,318,4,4,18,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6505,Nonresident,Bison,Henry Mtns,Any Legal Weapon,OIAL,Public,BI6505,performance,performance,,,28,22,78.6,3,3,417,414,1,2,22,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6506,Resident,Bison,Henry Mtns,Any Legal Weapon,OIAL,Public,BI6506,performance,performance,,,29,27,93.1,30,11,384,354,5,6,17,0,YELLOW,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6506,Nonresident,Bison,Henry Mtns,Any Legal Weapon,OIAL,Public,BI6506,performance,performance,,,29,27,93.1,0,0,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6509,Resident,Bison,Henry Mtns,Archery,OIAL,Public,BI6509,performance,performance,,,3,2,66.7,4,5,369,365,2,3,21,0,YELLOW,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6509,Nonresident,Bison,Henry Mtns,Archery,OIAL,Public,BI6509,performance,performance,,,3,2,66.7,0,0,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6516,Resident,Bison,Henry Mtns,Any Legal Weapon,OIAL,Public,BI6516,performance,performance,,,13,13,100.0,5,6,1101,1096,3,3,27,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6516,Nonresident,Bison,Henry Mtns,Any Legal Weapon,OIAL,Public,BI6516,performance,performance,,,13,13,100.0,0,0,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6527,Resident,Bison,Nine Mile,Any Legal Weapon,OIAL,Public,BI6527,performance,performance,,,15,0,0.0,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,CONTEXT_ONLY,pending_public_permits_not_posted
BI6527,Nonresident,Bison,Nine Mile,Any Legal Weapon,OIAL,Public,BI6527,performance,performance,,,15,0,0.0,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,CONTEXT_ONLY,pending_public_permits_not_posted
BI6528,Resident,Bison,"Book Cliffs, Little Creek/South",Archery,OIAL,Public,BI6528,performance,performance,,,5,5,100.0,5,5,125,120,2,3,21,-2,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6528,Nonresident,Bison,"Book Cliffs, Little Creek/South",Archery,OIAL,Public,BI6528,performance,performance,,,5,5,100.0,0,0,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6529,Resident,Bison,"Book Cliffs, Little Creek/South",Any Legal Weapon,OIAL,Public,BI6529,performance,performance,,,5,4,80.0,8,8,107,99,4,4,13,-5,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6529,Nonresident,Bison,"Book Cliffs, Little Creek/South",Any Legal Weapon,OIAL,Public,BI6529,performance,performance,,,5,4,80.0,0,0,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6531,Resident,Bison,"Book Cliffs, Little Creek/South",Any Legal Weapon,OIAL,Public,BI6531,performance,performance,,,7,6,85.7,7,10,370,363,5,5,26,-2,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6531,Nonresident,Bison,"Book Cliffs, Little Creek/South",Any Legal Weapon,OIAL,Public,BI6531,performance,performance,,,7,6,85.7,0,0,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6532,Resident,Bison,"Book Cliffs, Bitter Creek",Archery,OIAL,Public,BI6532,performance,performance,,,3,3,100.0,5,5,172,167,2,3,20,-2,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6532,Nonresident,Bison,"Book Cliffs, Bitter Creek",Archery,OIAL,Public,BI6532,performance,performance,,,3,3,100.0,0,0,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6534,Resident,Bison,"Book Cliffs, Bitter Creek",Any Legal Weapon,OIAL,Public,BI6534,performance,performance,,,4,4,100.0,5,10,907,902,5,5,28,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6534,Nonresident,Bison,"Book Cliffs, Bitter Creek",Any Legal Weapon,OIAL,Public,BI6534,performance,performance,,,4,4,100.0,0,0,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6535,Resident,Bison,"Book Cliffs, Bitter Creek",Any Legal Weapon,OIAL,Public,BI6535,performance,performance,,,5,5,100.0,5,8,702,697,4,4,27,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6535,Nonresident,Bison,"Book Cliffs, Bitter Creek",Any Legal Weapon,OIAL,Public,BI6535,performance,performance,,,5,5,100.0,0,0,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6536,Resident,Bison,"Book Cliffs, Bitter Creek",Any Legal Weapon,OIAL,Public,BI6536,performance,performance,,,3,2,66.7,2,15,131,129,7,8,19,-8,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6536,Nonresident,Bison,"Book Cliffs, Bitter Creek",Any Legal Weapon,OIAL,Public,BI6536,performance,performance,,,3,2,66.7,0,0,0,0,0,0,0,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6537,Resident,Bison,"Book Cliffs, Little Creek/South",Any Legal Weapon,OIAL,Public,BI6537,performance,performance,,,11,10,90.9,5,8,430,425,4,4,22,-5,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
BI6537,Nonresident,Bison,"Book Cliffs, Little Creek/South",Any Legal Weapon,OIAL,Public,BI6537,performance,performance,,,11,10,90.9,5,7,2323,2318,3,4,28,-1,GREEN,33,0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33,MODELED,modeled_engine
DA1001,Resident,Deer,"Box Elder, West Bear River",Any Legal Weapon,Antlerless,Public,DA1001,performance|preference_threshold,performance,,preference_threshold,22,5,22.7,24,24,68,68,24,0,2,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1001,Nonresident,Deer,"Box Elder, West Bear River",Any Legal Weapon,Antlerless,Public,DA1001,performance|preference_threshold,performance,,preference_threshold,22,5,22.7,0,,0,0,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1002,Resident,Deer,"Box Elder, West Bear River",Any Legal Weapon,Antlerless,Public,DA1002,performance|preference_threshold,performance,,preference_threshold,17,3,17.6,24,24,102,102,24,0,3,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1002,Nonresident,Deer,"Box Elder, West Bear River",Any Legal Weapon,Antlerless,Public,DA1002,performance|preference_threshold,performance,,preference_threshold,17,3,17.6,0,,0,0,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1003,Resident,Deer,"Monroe/Plateau, Sevier Valley","Archery, Muzzleloader, Shotgun",Antlerless,Public,DA1003,performance|preference_threshold,performance,,preference_threshold,7,1,14.3,11,11,248,248,11,0,6,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1003,Nonresident,Deer,"Monroe/Plateau, Sevier Valley","Archery, Muzzleloader, Shotgun",Antlerless,Public,DA1003,performance|preference_threshold,performance,,preference_threshold,7,1,14.3,1,1,7,7,1,0,6,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1009,Resident,Deer,"Pine Valley, Enterprise",Any Legal Weapon,Antlerless,Public,DA1009,performance|preference_threshold,performance,,preference_threshold,23,23,100.0,20,20,1438,1438,20,0,8,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1009,Nonresident,Deer,"Pine Valley, Enterprise",Any Legal Weapon,Antlerless,Public,DA1009,performance|preference_threshold,performance,,preference_threshold,23,23,100.0,0,,136,136,0,0,0,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
DA1011,Resident,Deer,George Creek,Any Legal Weapon,CWMU Antlerless,CWMU,DA1011,performance|preference_threshold,performance,,preference_threshold,5,4,80.0,4,5,116,116,5,0,8,-1,GREEN,20,0,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,MODELED,modeled_engine
