hunt_code,species,harvest_success,pressure_index,draw_access_score,verified_outfitter_count,cpo_outfitter_count
BI0001,Bison,100.0,1.0,,0,0
BI1000,Bison,100.0,1.0,,30,0
BI6500,Bison,100.0,1.0,,0,0
BI6503,Bison,93.3,1.0,,30,0
BI6504,Bison,100.0,1.0,,30,0
BI6505,Bison,78.6,1.0,,30,0
BI6506,Bison,93.1,1.0,,30,0
BI6509,Bison,66.7,1.0,,30,0
BI6516,Bison,100.0,1.0,,30,0
BI6527,Bison,0.0,0.8333,,52,0
BI6528,Bison,100.0,1.0,,30,0
BI6529,Bison,80.0,1.0,,30,0
BI6531,Bison,85.7,0.875,,30,0
BI6532,Bison,100.0,0.75,,30,0
BI6534,Bison,100.0,0.8,,30,0
BI6535,Bison,100.0,1.0,,30,0
BI6536,Bison,66.7,1.0,,30,0
BI6537,Bison,90.9,1.0,,30,0
DA1001,Deer,22.7,0.7586,3.0,30,0
DA1002,Deer,17.6,0.5862,3.0,30,0
DA1003,Deer,14.3,0.5,2.0,30,0
DA1009,Deer,100.0,0.92,2.0,37,0
DA1011,Deer,80.0,1.0,2.0,0,0
DA1012,Deer,100.0,0.9333,2.0,0,0
DA1013,Deer,75.0,0.8,2.0,0,0
DA1018,Deer,53.3,0.8333,2.0,37,0
DA1027,Deer,70.4,0.9,2.0,36,0
DA1030,Deer,14.3,0.5833,3.0,30,0
DA1031,Deer,73.3,0.75,2.0,30,0
DA1033,Deer,80.0,1.0,3.0,30,0
DA1041,Deer,60.0,0.6667,3.0,30,0
DA1042,Deer,100.0,0.8,3.0,30,0
DA1045,Deer,41.7,0.6667,3.0,0,0
DA1046,Deer,50.0,0.8,3.0,30,0
DA1047,Deer,26.7,0.6522,2.0,30,0
DA1048,Deer,25.0,0.5714,3.0,30,0
DA1049,Deer,33.3,0.7714,3.0,30,0
DA1050,Deer,75.0,0.8,2.0,0,0
DB0007,Deer,100.0,1.0,,0,0
DB0008,Deer,21.3,0.7101,,0,0
DB0009,Deer,100.0,1.0,,0,0
DB1000,Deer,100.0,1.0,3.0,30,0
DB1001,Deer,67.6,1.0,3.0,37,0
DB1002,Deer,100.0,1.0,2.0,0,0
DB1003,Deer,100.0,0.963,3.0,30,0
DB1004,Deer,93.2,0.9778,3.0,37,0
DB1005,Deer,90.0,1.0,2.0,30,0
DB1006,Deer,70.0,1.0,3.0,37,0
DB1007,Deer,100.0,1.0,3.0,30,0
DB1008,Deer,100.0,1.0,2.0,37,0
DB1009,Deer,100.0,1.0,3.0,0,0
DB1010,Deer,92.9,0.9655,3.0,37,0
DB1011,Deer,88.0,0.9615,3.0,30,0
DB1012,Deer,84.6,1.0,3.0,30,0
DB1013,Deer,50.0,1.0,3.0,30,0
DB1014,Deer,100.0,1.0,3.0,0,0
DB1015,Deer,86.4,0.9565,3.0,33,0
DB1016,Deer,56.9,1.0,3.0,0,0
DB1017,Deer,93.6,0.9766,3.0,0,0
DB1018,Deer,100.0,1.0,3.0,30,0
DB1019,Deer,95.0,1.0,3.0,30,0
DB1020,Deer,100.0,1.0,3.0,30,0
DB1022,Deer,88.9,1.0,3.0,0,0
DB1023,Deer,96.9,1.0,3.0,33,0
DB1024,Deer,85.4,0.9805,3.0,0,0
