"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","access_type"
"DA1027","Deer","East Canyon, Davis-North Salt Lake","Antlerless","Any Legal Weapon","Female Only","30","27","19","70.4","2.7","4.2","Public"
"DA1030","Deer","Nine Mile, Price River Valley","Antlerless","Archery","Female Only","24","14","2","14.3","3.8","2.8","Public"
"DA1031","Deer","Oquirrh-Stansbury, Settlement Cyn","Antlerless","Archery","Female Only","20","15","11","73.3","4.7","3.5","Public"
"DA1033","Deer","San Juan, Monticello","Antlerless","Archery","Female Only","5","5","4","80","1.8","4.6","Public"
"DA1041","Deer","Nine Mile, Green River Valley","Antlerless","Any Legal Weapon","Female Only","15","10","6","60","2.3","3.8","Public"
"DA1042","Deer","San Juan, Monticello","Antlerless","Archery","Female Only","5","4","4","100","1.7","4","Public"
"DA1045","Deer","Fillmore, Oak City","Antlerless","Archery","Female Only","18","12","5","41.7","4.2","3.8","Public"
"DA1046","Deer","Nine Mile, Price River Valley","Antlerless","Archery, Muzzleloader, Shotgun","Female Only","25","20","10","50","5.2","3","Public"
"DA1047","Deer","Vernal-Ouray Valley","Antlerless","Any Legal Weapon","Female Only","23","15","4","26.7","3.5","1.6","Public"
"DA1048","Deer","Fillmore City","Antlerless","Archery","Female Only","14","8","2","25","4.7","2.4","Public"
"DA1049","Deer","Vernal, Ashley Valley","Antlerless","Archery","Female Only","35","27","9","33.3","6.1","3.2","Public"
"DA1050","Deer","The Rose of Snowville","CWMU Antlerless","Any Legal Weapon","Female Only","10","8","6","75","1","4","CWMU"
"DB0007","Deer","Buck Deer - Statewide Permit","Sportsman","Any Legal Weapon","Male Only","2","2","2","100","8.5","5","Public"
"DB0008","Deer","Deer Extended Archery Only","General Season","Extended Archery","Hunter's Choice","1904","1352","288","21.3","9.5","3.3","Public"
"DB0009","Deer","Antelope Island","Premium Limited Entry","Any Legal Weapon","Male Only","1","1","1","100","2","4","Public"
"DB1000","Deer","Henry Mtns","Premium Limited Entry","Archery","Male Only","9","9","9","100","10.3","4.1","Public"
"DB1001","Deer","Paunsaugunt","Premium Limited Entry","Archery","Male Only","34","34","23","67.6","12.1","3.8","Public"
"DB1002","Deer","Antelope Island","Premium Limited Entry","Any Legal Weapon","Male Only","1","1","1","100","1","5","Public"
"DB1003","Deer","Henry Mtns","Premium Limited Entry","Any Legal Weapon","Male Only","27","26","26","100","3.5","3.6","Public"
"DB1004","Deer","Paunsaugunt","Premium Limited Entry","Any Legal Weapon","Male Only","90","88","82","93.2","6.7","4.1","Public"
"DB1005","Deer","Henry Mtns","Premium Limited Entry","Muzzleloader","Male Only","10","10","9","90","5.6","4.3","Public"
"DB1006","Deer","Paunsaugunt","Premium Limited Entry","Muzzleloader","Male Only","30","30","21","70","5.7","3.9","Public"
"DB1007","Deer","Henry Mtns","Premium Limited Entry","Multiseason","Male Only","2","2","2","100","11","4.5","Public"
"DB1008","Deer","Paunsaugunt","Premium Limited Entry","Multiseason","Male Only","6","6","6","100","22","4.7","Public"
"DB1009","Deer","Henry Mtns","Management Buck","Any Legal Weapon","Male Only","11","11","11","100","2.2","4.6","Public"
"DB1010","Deer","Paunsaugunt","Management Buck","Any Legal Weapon","Male Only","29","28","26","92.9","4.9","4.6","Public"
"DB1011","Deer","Book Cliffs","Limited Entry","Archery","Male Only","52","50","44","88","6.6","4.6","Public"
"DB1012","Deer","Fillmore, Oak Creek LE","Limited Entry","Archery","Male Only","13","13","11","84.6","9.2","4.4","Public"
"DB1013","Deer","Dolores Triangle","Limited Entry","Archery","Male Only","4","4","2","50","7.5","3.3","Public"
"DB1014","Deer","San Juan, Elk Ridge","Limited Entry","Archery","Male Only","17","17","17","100","5.3","3.7","Public"
"DB1015","Deer","Diamond Mtn","Limited Entry","Archery","Male Only","23","22","19","86.4","7.6","4","Public"
"DB1016","Deer","West Desert, Vernon","Limited Entry","Archery","Male Only","51","51","29","56.9","8.8","4.1","Public"
"DB1017","Deer","Book Cliffs, North","Limited Entry","Any Legal Weapon","Male Only","128","125","117","93.6","3.7","4.1","Public"
"DB1018","Deer","Book Cliffs, South","Limited Entry","Any Legal Weapon","Male Only","31","31","31","100","3.7","4.5","Public"
"DB1019","Deer","Fillmore, Oak Creek LE","Limited Entry","Any Legal Weapon","Male Only","40","40","38","95","4.4","3.9","Public"
"DB1020","Deer","Dolores Triangle","Limited Entry","Any Legal Weapon","Male Only","12","12","12","100","4","4.4","Public"
"DB1022","Deer","San Juan, Elk Ridge","Limited Entry","Any Legal Weapon","Male Only","45","45","40","88.9","4.8","3.9","Public"
"DB1023","Deer","Diamond Mtn","Limited Entry","Any Legal Weapon","Male Only","64","64","62","96.9","3.4","4.1","Public"
"DB1024","Deer","West Desert, Vernon","Limited Entry","Any Legal Weapon","Male Only","154","151","129","85.4","4.4","3.5","Public"
"DB1025","Deer","Book Cliffs","Limited Entry","Muzzleloader","Male Only","51","50","43","86","3.8","4.2","Public"
"DB1026","Deer","Cache, Crawford Mtn","Limited Entry","Muzzleloader","Male Only","8","8","8","100","4.8","3.9","Public"
"DB1028","Deer","Fillmore","Limited Entry on General Season","Muzzleloader","Male Only","11","10","7","70","7.2","3.3","Public"
"DB1029","Deer","Fillmore, Oak Creek LE","Limited Entry","Muzzleloader","Male Only","15","15","12","80","6","4.3","Public"
"DB1030","Deer","Kamas","Limited Entry on General Season","Muzzleloader","Male Only","6","6","6","100","5.5","3.8","Public"
"DB1031","Deer","Dolores Triangle","Limited Entry","Muzzleloader","Male Only","4","4","4","100","6.5","4","Public"
"DB1032","Deer","Monroe","Limited Entry on General Season","Muzzleloader","Male Only","6","6","4","66.7","6.5","3.7","Public"
"DB1033","Deer","Nine Mile","Limited Entry on General Season","Muzzleloader","Male Only","6","6","6","100","4.5","4","Public"
"DB1034","Deer","Pine Valley","Limited Entry on General Season","Muzzleloader","Male Only","15","15","8","53.3","6.7","2.6","Public"
"DB1037","Deer","San Juan, Elk Ridge","Limited Entry","Muzzleloader","Male Only","17","16","14","87.5","4.6","3.8","Public"
"DB1038","Deer","Diamond Mtn","Limited Entry","Muzzleloader","Male Only","23","23","21","91.3","3.6","3.6","Public"
"DB1039","Deer","Yellowstone","Limited Entry on General Season","Muzzleloader","Male Only","7","7","7","100","5.1","3.6","Public"
"DB1040","Deer","Southwest Desert","Limited Entry on General Season","Muzzleloader","Male Only","5","5","3","60","7.4","2.8","Public"
"DB1041","Deer","Wasatch Mtns, East","Limited Entry on General Season","Muzzleloader","Male Only","30","30","19","63.3","5.8","3.4","Public"
"DB1042","Deer","West Desert, Vernon","Limited Entry","Muzzleloader","Male Only","50","50","44","88","4.6","3.7","Public"
"DB1043","Deer","Zion","Limited Entry on General Season","Muzzleloader","Male Only","15","15","7","46.7","6.4","2.8","Public"
"DB1044","Deer","Book Cliffs","Limited Entry","Multiseason","Male Only","9","9","9","100","15.3","4","Public"
"DB1045","Deer","Fillmore, Oak Creek LE","Limited Entry","Multiseason","Male Only","3","3","3","100","30.3","3.7","Public"
"DB1046","Deer","San Juan, Elk Ridge","Limited Entry","Multiseason","Male Only","3","3","2","66.7","20","2.7","Public"
"DB1047","Deer","Diamond Mtn","Limited Entry","Multiseason","Male Only","5","5","5","100","7.6","3.8","Public"
"DB1048","Deer","West Desert, Vernon","Limited Entry","Multiseason","Male Only","9","9","7","77.8","11","3.6","Public"
"DB1053","Deer","Mt Dutton","Limited Entry on General Season","Muzzleloader","Male Only","5","5","4","80","6.5","4","Public"
"DB1054","Deer","Ogden","Limited Entry on General Season","Muzzleloader","Male Only","12","11","6","54.5","6.8","4.3","Public"
"DB1055","Deer","Fishlake","Limited Entry on General Season","Muzzleloader","Male Only","6","6","4","66.7","5","2.6","Public"
"DB1056","Deer","Book Cliffs","Conservation","Any Legal Weapon","Male Only","2","2","1","50","3","5","Public"
"DB1058","Deer","Paunsaugunt","Cactus Buck","Any Legal Weapon","Male Only","28","27","10","37","8.3","2.8","Public"
"DB1065","Deer","North Slope","Limited Entry on General Season","Muzzleloader","Male Only","15","15","12","80","5.8","3.4","Public"
"DB1073","Deer","Paunsaugunt","Management Buck","Archery","Male Only","9","9","8","88.9","7.2","5","Public"
"DB1074","Deer","Paunsaugunt","Management Buck","Muzzleloader","Male Only","9","9","5","55.6","6.3","3.9","Public"
"DB1077","Deer","Box Elder","Limited Entry on General Season","Muzzleloader","Male Only","24","23","13","56.5","4.7","3.8","Public"
"DB1078","Deer","Cache","Limited Entry on General Season","Muzzleloader","Male Only","10","10","8","80","5.7","4.3","Public"
"DB1079","Deer","Manti/San Rafael","Limited Entry on General Season","Muzzleloader","Male Only","40","40","33","82.5","5.5","3.5","Public"
"DB1080","Deer","Nebo","Limited Entry on General Season","Muzzleloader","Male Only","27","27","21","77.8","4.8","3.4","Public"
"DB1081","Deer","La Sal Mtns","Limited Entry on General Season","Muzzleloader","Male Only","9","9","5","55.6","5.9","2.8","Public"
"DB1083","Deer","Panguitch Lake","Limited Entry on General Season","Muzzleloader","Male Only","12","11","5","45.5","6.7","3.5","Public"
"DB1084","Deer","Boulder/Kaiparowits","Limited Entry on General Season","Muzzleloader","Male Only","12","12","8","66.7","5","2.4","Public"
"DB1085","Deer","San Juan, Abajo Mtns","Limited Entry on General Season","Muzzleloader","Male Only","13","12","8","66.7","6.4","3.1","Public"
"DB1086","Deer","Vernal/Bonanza","Limited Entry on General Season","Muzzleloader","Male Only","6","5","4","80","3.3","4.5","Public"
"DB1087","Deer","Wasatch Mtns, West","Limited Entry on General Season","Muzzleloader","Male Only","32","30","20","66.7","5","3.4","Public"
"DB1090","Deer","Book Cliffs, Floy Canyon","Limited Entry","HAMSS","Male Only","7","7","7","100","6","4.4","Public"
"DB1091","Deer","Kaiparowits HAMSS","Limited Entry","HAMSS","Male Only","5","5","3","60","10","3.2","Public"
"DB1100","Deer","Chalk Creek","Limited Entry on General Season","Muzzleloader","Male Only","11","11","9","81.8","3.8","4.5","Public"
"DB1101","Deer","East Canyon","Limited Entry on General Season","Muzzleloader","Male Only","10","10","6","60","5.3","4","Public"
"DB1103","Deer","Morgan-South Rich","Limited Entry on General Season","Muzzleloader","Male Only","8","8","3","37.5","4.1","3.6","Public"
"DB1105","Deer","East Canyon","Limited Entry","HAMSS","Male Only","6","6","5","83.3","6.5","4.3","Public"
"DB1106","Deer","Thousand Lakes","Limited Entry","Archery Restricted","Male Only","20","18","3","16.7","5.3","2.6","Public"
"DB1107","Deer","Thousand Lakes","Limited Entry","Muzzleloader Restricted","Male Only","20","18","5","27.8","4","2.6","Public"
"DB1108","Deer","Thousand Lakes","Limited Entry","Rifle Restricted","Male Only","22","22","12","54.5","3.8","4.1","Public"
"DB1109","Deer","Thousand Lakes","Limited Entry","Multiseason Restricted","Male Only","2","2","2","100","3.5","4","Public"
"DB1110","Deer","Beaver, East","Limited Entry on General Season","Muzzleloader","Male Only","10","10","4","40","8.3","3.3","Public"
"DB1111","Deer","Beaver, West","Limited Entry on General Season","Muzzleloader","Male Only","5","5","5","100","6.8","3.6","Public"
"DB1112","Deer","West Desert, Swasey","Limited Entry on General Season","Muzzleloader","Male Only","4","4","1","25","7","2.7","Public"
"DB1113","Deer","Oquirrh/Tintic","Limited Entry on General Season","Muzzleloader","Male Only","12","11","11","100","4.8","3.8","Public"
"DB1114","Deer","Cedar/Stansbury","Limited Entry on General Season","Muzzleloader","Male Only","6","6","2","33.3","6.2","3.2","Public"
"DB1115","Deer","Henry Mtns, Little Rockies","Limited Entry","Any Legal Weapon","Male Only","5","5","2","40","11.8","1.2","Public"
"DB1116","Deer","San Juan, Mancos Mesa","Limited Entry","HAMSS","Male Only","4","4","2","50","13.8","2.8","Public"
"DB1119","Deer","Moab Valley","Limited Entry","Any Legal Weapon","Male Only","9","9","4","44.4","6","3.7","Public"
"DB1120","Deer","Castle Valley","Limited Entry","Any Legal Weapon","Male Only","15","15","12","80","5.9","4.4","Public"
"DB1200","Deer","Alton","CWMU","Any Legal Weapon","Male Only","20","20","18","90","5","4.7","CWMU"
"DB1201","Deer","Alton","CWMU Management","Any Legal Weapon","Male Only","5","5","5","100","2.6","4.8","CWMU"
"DB1202","Deer","Antelope Creek","CWMU","Any Legal Weapon","Male Only","3","2","1","50","7","3","CWMU"
"DB1203","Deer","Avintaquin Canyon","CWMU","Any Legal Weapon","Male Only","2","2","2","100","2","5","CWMU"
"DB1204","Deer","Bally Watts","CWMU","Any Legal Weapon","Male Only","9","9","7","77.8","1.8","5","CWMU"
"DB1205","Deer","Bar J Ranch","CWMU","Any Legal Weapon","Male Only","4","4","2","50","3.5","3.5","CWMU"
"DB1206","Deer","Bear Mountain","CWMU","Any Legal Weapon","Male Only","11","11","11","100","3.3","4.7","CWMU"
"DB1207","Deer","Bear Springs","CWMU","Any Legal Weapon","Male Only","3","3","2","66.7","3.3","5","CWMU"
"DB1208","Deer","Black Hawk","CWMU","Any Legal Weapon","Male Only","7","7","7","100","4","4.8","CWMU"
"DB1209","Deer","Blind Spring","CWMU","Any Legal Weapon","Male Only","5","5","4","80","3","4.8","CWMU"
"DB1211","Deer","Blue Spring Hills","CWMU","Any Legal Weapon","Male Only","10","10","10","100","4.8","4","CWMU"
"DB1212","Deer","Bluebell","CWMU","Any Legal Weapon","Male Only","10","10","10","100","3.3","5","CWMU"
"DB1213","Deer","Boobe Hole","CWMU","Any Legal Weapon","Male Only","18","18","8","44.4","4.1","4.1","CWMU"
"DB1215","Deer","Buckhorn Ranch","CWMU","Any Legal Weapon","Male Only","5","5","3","60","2","3.7","CWMU"
"DB1216","Deer","Castle Valley Outdoors","CWMU","Any Legal Weapon","Male Only","7","7","7","100","2.6","4.6","CWMU"
"DB1217","Deer","Causey Spring","CWMU","Any Legal Weapon","Male Only","13","13","12","92.3","3","4.9","CWMU"
"DB1219","Deer","Chimney Rock","CWMU","Any Legal Weapon","Male Only","16","15","13","86.7","3.7","4.6","CWMU"
"DB1222","Deer","Coldwater Ranch","CWMU","Any Legal Weapon","Male Only","12","12","12","100","2.2","5","CWMU"
"DB1224","Deer","Cotton Thomas","CWMU","Any Legal Weapon","Male Only","10","10","9","90","4.6","4.1","CWMU"
"DB1227","Deer","Deer Haven","CWMU","Any Legal Weapon","Male Only","16","13","13","100","5.8","4.6","CWMU"
"DB1228","Deer","Deseret","CWMU","Any Legal Weapon","Male Only","83","83","70","84.3","3.2","4.7","CWMU"
"DB1229","Deer","Dilly Ranch","CWMU","Any Legal Weapon","Male Only","10","10","9","90","3.7","4.8","CWMU"
"DB1230","Deer","Double R Ranch","CWMU","Any Legal Weapon","Male Only","16","16","14","87.5","3","4.9","CWMU"
"DB1231","Deer","Dove Creek","CWMU","Any Legal Weapon","Male Only","10","10","9","90","4.6","4.7","CWMU"
"DB1232","Deer","Durst Mountain","CWMU","Any Legal Weapon","Male Only","7","7","5","71.4","3.2","4.8","CWMU"
"DB1233","Deer","East Fork Chalk Creek","CWMU","Any Legal Weapon","Male Only","40","40","31","77.5","6.4","4.3","CWMU"
"DB1234","Deer","East Zion","CWMU","Any Legal Weapon","Male Only","10","10","8","80","7","4.6","CWMU"
"DB1236","Deer","Engineer Springs","CWMU","Any Legal Weapon","Male Only","1","1","1","100","5","4","CWMU"
"DB1237","Deer","Ensign Ranches","CWMU","Any Legal Weapon","Male Only","31","31","28","90.3","3.3","5","CWMU"
"DB1238","Deer","Folley Ridge","CWMU","Any Legal Weapon","Male Only","13","13","10","76.9","3.4","4.2","CWMU"
"DB1239","Deer","Fort Ranch","CWMU","Any Legal Weapon","Male Only","2","2","2","100","3","5","CWMU"
"DB1240","Deer","George Creek","CWMU","Any Legal Weapon","Male Only","7","6","3","50","6.5","4.3","CWMU"
"DB1241","Deer","Golden Spike","CWMU","Any Legal Weapon","Male Only","5","5","5","100","3.5","5","CWMU"
"DB1242","Deer","Grass Valley/Clark Canyon","CWMU","Any Legal Weapon","Male Only","104","102","93","91.2","3.7","4.5","CWMU"
"DB1243","Deer","Grazing Pasture","CWMU","Any Legal Weapon","Male Only","10","10","7","70","5","4.7","CWMU"
"DB1244","Deer","Green Canyon","CWMU","Any Legal Weapon","Male Only","9","7","5","71.4","7.3","4.9","CWMU"
"DB1245","Deer","Guildersleeve","CWMU","Any Legal Weapon","Male Only","10","10","8","80","4","4.5","CWMU"
"DB1246","Deer","Hardscrabble","CWMU","Any Legal Weapon","Male Only","13","13","8","61.5","4.2","3.6","CWMU"
"DB1248","Deer","Heaston East","CWMU","Any Legal Weapon","Male Only","20","20","18","90","3","4.8","CWMU"
"DB1249","Deer","Hiawatha","CWMU","Any Legal Weapon","Male Only","8","7","6","85.7","3.3","3.3","CWMU"
"DB1250","Deer","Indian Creek","CWMU","Any Legal Weapon","Male Only","3","3","2","66.7","1.7","3.3","CWMU"
"DB1251","Deer","Indian Head","CWMU","Any Legal Weapon","Male Only","14","14","12","85.7","3.5","4.8","CWMU"
"DB1252","Deer","Ingham Peak","CWMU","Any Legal Weapon","Male Only","34","32","32","100","4","4.5","CWMU"
"DB1253","Deer","Circle E Ranch","CWMU","Any Legal Weapon","Male Only","7","7","7","100","1.4","5","CWMU"
"DB1255","Deer","Johnson Mountain Ranch","CWMU","Any Legal Weapon","Male Only","2","2","0","0","9.5","2.5","CWMU"
"DB1256","Deer","Junction Valley","CWMU","Any Legal Weapon","Male Only","47","47","34","72.3","3.5","4.6","CWMU"
"DB1258","Deer","Little Red Creek","CWMU","Any Legal Weapon","Male Only","9","9","7","77.8","3.3","4.7","CWMU"
"DB1259","Deer","Lone Tree Tunnel Hollow","CWMU","Any Legal Weapon","Male Only","8","8","7","87.5","3.3","4","CWMU"
"DB1260","Deer","Middle Ridge","CWMU","Any Legal Weapon","Male Only","9","9","6","66.7","4.7","4.7","CWMU"
"DB1261","Deer","Minnie Maud Ridge","CWMU","Any Legal Weapon","Male Only","45","45","27","60","5.6","3.7","CWMU"
"DB1263","Deer","Moon Ranch","CWMU","Any Legal Weapon","Male Only","10","10","10","100","5.1","2.4","CWMU"
"DB1264","Deer","Mountain Meadow","CWMU","Any Legal Weapon","Male Only","6","6","6","100","3.5","4.8","CWMU"
"DB1265","Deer","Mountain Top","CWMU","Any Legal Weapon","Male Only","11","10","5","50","3.9","4.1","CWMU"
"DB1266","Deer","Mt Carmel","CWMU","Any Legal Weapon","Male Only","21","21","14","66.7","4.6","3.6","CWMU"
"DB1269","Deer","North Promontory","CWMU","Any Legal Weapon","Male Only","6","6","6","100","2.5","4.7","CWMU"
"DB1270","Deer","Nucor West","CWMU","Any Legal Weapon","Male Only","11","11","11","100","2.8","4.8","CWMU"
"DB1271","Deer","Oak Ranch","CWMU","Any Legal Weapon","Male Only","4","4","3","75","4.8","5","CWMU"
"DB1272","Deer","Old Woman Plateau","CWMU","Any Legal Weapon","Male Only","12","12","8","66.7","4.9","3.5","CWMU"
"DB1273","Deer","Park Valley Hereford","CWMU","Any Legal Weapon","Male Only","24","23","17","73.9","3.2","3.8","CWMU"
"DB1274","Deer","Patmos Ridge","CWMU","Any Legal Weapon","Male Only","7","7","6","85.7","5","4.9","CWMU"
"DB1275","Deer","Pine Canyon","CWMU","Any Legal Weapon","Male Only","20","20","13","65","4.2","4.2","CWMU"
"DB1277","Deer","Pocatello Valley","CWMU","Any Legal Weapon","Male Only","6","6","6","100","3","4.8","CWMU"
"DB1279","Deer","Preston Nutter Ranch","CWMU","Any Legal Weapon","Male Only","2","2","2","100","3","5","CWMU"
"DB1280","Deer","Promontory Point","CWMU","Any Legal Weapon","Male Only","10","10","9","90","2.3","5","CWMU"
"DB1281","Deer","Rattlesnake Pass","CWMU","Any Legal Weapon","Male Only","15","15","15","100","4.5","4.4","CWMU"
"DB1282","Deer","Redd Ranches","CWMU","Any Legal Weapon","Male Only","16","15","14","93.3","3.6","4.4","CWMU"
"DB1283","Deer","Roan Cliffs","CWMU","Any Legal Weapon","Male Only","12","11","8","72.7","4","4.4","CWMU"
"DB1285","Deer","Sand Creek","CWMU","Any Legal Weapon","Male Only","7","6","3","50","4","4.3","CWMU"
"DB1286","Deer","Pisgah Mountain","CWMU","Any Legal Weapon","Male Only","12","12","9","75","5","4.5","CWMU"
"DB1287","Deer","Scofield Canyons","CWMU","Any Legal Weapon","Male Only","10","9","9","100","2.8","5","CWMU"
"DB1288","Deer","Scofield West","CWMU","Any Legal Weapon","Male Only","15","15","15","100","3.2","4.4","CWMU"
"DB1289","Deer","Sharp Mountain","CWMU","Any Legal Weapon","Male Only","16","16","14","87.5","3.6","5","CWMU"
"DB1290","Deer","Skull Crack","CWMU","Any Legal Weapon","Male Only","8","8","8","100","2.8","5","CWMU"
"DB1291","Deer","Skull Valley South","CWMU","Any Legal Weapon","Male Only","4","4","2","50","3.5","4","CWMU"
"DB1292","Deer","Soldier Summit","CWMU","Any Legal Weapon","Male Only","11","11","11","100","3.6","5","CWMU"
"DB1293","Deer","South Canyon","CWMU","Any Legal Weapon","Male Only","10","10","10","100","2.8","5","CWMU"
"DB1294","Deer","Spring Creek Acres","CWMU","Any Legal Weapon","Male Only","4","4","3","75","2.3","5","CWMU"
"DB1295","Deer","Spring Creek/Dodge","CWMU","Any Legal Weapon","Male Only","56","56","50","89.3","3.3","4.5","CWMU"
"DB1298","Deer","Strawberry Ridge","CWMU","Any Legal Weapon","Male Only","8","5","4","80","4.3","5","CWMU"
"DB1299","Deer","Summit Point","CWMU","Any Legal Weapon","Male Only","25","23","22","95.7","4.7","3.9","CWMU"
"DB1300","Deer","Thatcher Mountain","CWMU","Any Legal Weapon","Male Only","4","4","2","50","3.5","5","CWMU"
"DB1301","Deer","Three C","CWMU","Any Legal Weapon","Male Only","20","20","16","80","6.2","4.5","CWMU"
"DB1303","Deer","North Peaks","CWMU","Any Legal Weapon","Male Only","5","5","4","80","3.5","3.8","CWMU"
"DB1304","Deer","Two Bear","CWMU","Any Legal Weapon","Male Only","10","10","10","100","3","4.4","CWMU"
"DB1305","Deer","Wallsburg","CWMU","Any Legal Weapon","Male Only","5","5","3","60","5.4","3.4","CWMU"
"DB1306","Deer","Washakie","CWMU","Any Legal Weapon","Male Only","10","10","10","100","2.3","4.8","CWMU"
"DB1308","Deer","West Hills","CWMU","Any Legal Weapon","Male Only","14","14","13","92.9","3.3","4.7","CWMU"
"DB1309","Deer","West Willow Creek Ranch","CWMU","Any Legal Weapon","Male Only","23","23","22","95.7","2.8","4.5","CWMU"
"DB1310","Deer","White's Valley","CWMU","Any Legal Weapon","Male Only","10","10","9","90","5.1","4.8","CWMU"
"DB1312","Deer","Woodruff Creek South","CWMU","Any Legal Weapon","Male Only","2","2","2","100","2.5","5","CWMU"
"DB1317","Deer","Jacob's Creek","CWMU","Any Legal Weapon","Male Only","10","10","7","70","3.3","5","CWMU"
"DB1320","Deer","Deer Creek","CWMU","Any Legal Weapon","Male Only","6","5","2","40","3.3","3.5","CWMU"
"DB1322","Deer","Pahvant Ensign","CWMU","Any Legal Weapon","Male Only","10","10","8","80","3.3","4.9","CWMU"
"DB1323","Deer","Rock House","CWMU","Any Legal Weapon","Male Only","4","4","4","100","9","4.8","CWMU"
"DB1324","Deer","Royal Ivory Outfitters","CWMU","Any Legal Weapon","Male Only","6","6","3","50","5","4","CWMU"
"DB1325","Deer","Double Cone","CWMU","Any Legal Weapon","Male Only","7","7","4","57.1","3.5","1.8","CWMU"
"DB1326","Deer","Rosette","CWMU","Any Legal Weapon","Male Only","4","4","3","75","2.3","3.5","CWMU"
"DB1327","Deer","Mountain Sky Ranch","CWMU","Any Legal Weapon","Male Only","7","7","5","71.4","5.6","4.7","CWMU"
"DB1328","Deer","Clear Creek","CWMU","Any Legal Weapon","Male Only","5","5","1","20","5.6","4.2","CWMU"
"DB1330","Deer","Iron Spring","CWMU","Any Legal Weapon","Male Only","1","1","1","100","5","3","CWMU"
"DB1331","Deer","Raft River","CWMU","Any Legal Weapon","Male Only","10","10","9","90","4.8","5","CWMU"
"DB1332","Deer","West Ridge","CWMU","Any Legal Weapon","Male Only","37","35","21","60","5.6","3.7","CWMU"
"DB1333","Deer","5S Land and Livestock","CWMU","Any Legal Weapon","Male Only","16","16","5","31.3","4","3.1","CWMU"
"DB1334","Deer","Alton","CWMU Cactus","Any Legal Weapon","Male Only","5","5","5","100","3","5","CWMU"
