"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","access_type"
"BI0001","Bison","Antelope Island","OIAL","Any Legal Weapon","Hunter's Choice","7","7","7","100","1","4.8","Public"
"BI1000","Bison","Bison - Statewide Permit","Sportsman","Any Legal Weapon","Hunter's Choice","2","2","2","100","1","5","Public"
"BI6500","Bison","Antelope Island","OIAL","Any Legal Weapon","Hunter's Choice","2","2","2","100","1","5","Public"
"BI6503","Bison","Henry Mtns","OIAL","Any Legal Weapon","Hunter's Choice","15","15","14","93.3","2.4","4.6","Public"
"BI6504","Bison","Henry Mtns","OIAL","Any Legal Weapon","Hunter's Choice","13","13","13","100","4.5","4.2","Public"
"BI6505","Bison","Henry Mtns","OIAL","Any Legal Weapon","Female Only","28","28","22","78.6","4","4","Public"
"BI6506","Bison","Henry Mtns","OIAL","Any Legal Weapon","Female Only","29","29","27","93.1","5.5","4.3","Public"
"BI6509","Bison","Henry Mtns","OIAL","Archery","Hunter's Choice","3","3","2","66.7","7","4.3","Public"
"BI6516","Bison","Henry Mtns","OIAL","Any Legal Weapon","Hunter's Choice","13","13","13","100","3.5","4.5","Public"
"BI6527","Bison","Nine Mile","OIAL","Any Legal Weapon","Hunter's Choice","18","15","0","0","9","3.6","Public"
"BI6528","Bison","Book Cliffs, Little Creek/South","OIAL","Archery","Hunter's Choice","5","5","5","100","2","5","Public"
"BI6529","Bison","Book Cliffs, Little Creek/South","OIAL","Any Legal Weapon","Female Only","5","5","4","80","1.8","4.8","Public"
"BI6531","Bison","Book Cliffs, Little Creek/South","OIAL","Any Legal Weapon","Hunter's Choice","8","7","6","85.7","3.7","3.7","Public"
"BI6532","Bison","Book Cliffs, Bitter Creek","OIAL","Archery","Hunter's Choice","4","3","3","100","2","5","Public"
"BI6534","Bison","Book Cliffs, Bitter Creek","OIAL","Any Legal Weapon","Hunter's Choice","5","4","4","100","2.5","3.8","Public"
"BI6535","Bison","Book Cliffs, Bitter Creek","OIAL","Any Legal Weapon","Hunter's Choice","5","5","5","100","4.2","4.4","Public"
"BI6536","Bison","Book Cliffs, Bitter Creek","OIAL","Any Legal Weapon","Female Only","3","3","2","66.7","4.3","4.7","Public"
"BI6537","Bison","Book Cliffs, Little Creek/South","OIAL","Any Legal Weapon","Hunter's Choice","11","11","10","90.9","3.7","4.6","Public"
"DA1001","Deer","Box Elder, West Bear River","Antlerless","Any Legal Weapon","Female Only","29","22","5","22.7","4.4","3","Public"
"DA1002","Deer","Box Elder, West Bear River","Antlerless","Any Legal Weapon","Female Only","29","17","3","17.6","2.4","2.8","Public"
"DA1003","Deer","Monroe/Plateau, Sevier Valley","Antlerless","Archery, Muzzleloader, Shotgun","Female Only","14","7","1","14.3","2.7","3.8","Public"
"DA1009","Deer","Pine Valley, Enterprise","Antlerless","Any Legal Weapon","Female Only","25","23","23","100","1.6","4.6","Public"
"DA1011","Deer","George Creek","CWMU Antlerless","Any Legal Weapon","Female Only","5","5","4","80","1.4","4.6","CWMU"
"DA1012","Deer","Junction Valley","CWMU Antlerless","Any Legal Weapon","Female Only","15","14","14","100","1.8","5","CWMU"
"DA1013","Deer","Mt Carmel","CWMU Antlerless","Any Legal Weapon","Female Only","5","4","3","75","2","4.8","CWMU"
"DA1018","Deer","Pine Valley, New Harmony","Antlerless","Archery, Muzzleloader, Shotgun","Female Only","18","15","8","53.3","5.1","3.4","Public"
