hunt_code,species,hunt_name,hunt_type,weapon,sex_type,access_type,has_harvest,has_bonus_draw,has_antlerless_draw,bonus_draw_hunt_code,bonus_draw_row_count,bonus_draw_resident_min_point,bonus_draw_resident_max_point,bonus_draw_nonresident_min_point,bonus_draw_nonresident_max_point,antlerless_draw_hunt_code,antlerless_draw_row_count,antlerless_resident_min_point,antlerless_resident_max_point,antlerless_nonresident_min_point,antlerless_nonresident_max_point,draw_family,draw_presence_flag,score_family,private_or_cwmu_flag,public_rank_eligible,harvest_success_score,harvest_pressure_score,harvest_efficiency_score,draw_difficulty_flag,resident_point_signal,nonresident_point_signal,scoring_notes
BI0001,Bison,Antelope Island,OIAL,Any Legal Weapon,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,100.0,1.0,1.0,,,,Special-program hunt excluded from public ranking; success=100.0; pressure=hunters/permits=1.0; efficiency=harvest/hunters=1.0; no draw-source signal; score_family=excluded_special_program
BI1000,Bison,Bison - Statewide Permit,Sportsman,Any Legal Weapon,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,100.0,1.0,1.0,,,,Special-program hunt excluded from public ranking; success=100.0; pressure=hunters/permits=1.0; efficiency=harvest/hunters=1.0; no draw-source signal; score_family=excluded_special_program
BI6500,Bison,Antelope Island,OIAL,Any Legal Weapon,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,100.0,1.0,1.0,,,,Special-program hunt excluded from public ranking; success=100.0; pressure=hunters/permits=1.0; efficiency=harvest/hunters=1.0; no draw-source signal; score_family=excluded_special_program
BI6503,Bison,Henry Mtns,OIAL,Any Legal Weapon,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,93.3,1.0,0.9333,,,,Special-program hunt excluded from public ranking; success=93.3; pressure=hunters/permits=1.0; efficiency=harvest/hunters=0.9333; no draw-source signal; score_family=excluded_special_program
BI6504,Bison,Henry Mtns,OIAL,Any Legal Weapon,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,100.0,1.0,1.0,,,,Special-program hunt excluded from public ranking; success=100.0; pressure=hunters/permits=1.0; efficiency=harvest/hunters=1.0; no draw-source signal; score_family=excluded_special_program
BI6505,Bison,Henry Mtns,OIAL,Any Legal Weapon,Female Only,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,78.6,1.0,0.7857,,,,Special-program hunt excluded from public ranking; success=78.6; pressure=hunters/permits=1.0; efficiency=harvest/hunters=0.7857; no draw-source signal; score_family=excluded_special_program
BI6506,Bison,Henry Mtns,OIAL,Any Legal Weapon,Female Only,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,93.1,1.0,0.931,,,,Special-program hunt excluded from public ranking; success=93.1; pressure=hunters/permits=1.0; efficiency=harvest/hunters=0.931; no draw-source signal; score_family=excluded_special_program
BI6509,Bison,Henry Mtns,OIAL,Archery,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,66.7,1.0,0.6667,,,,Special-program hunt excluded from public ranking; success=66.7; pressure=hunters/permits=1.0; efficiency=harvest/hunters=0.6667; no draw-source signal; score_family=excluded_special_program
BI6516,Bison,Henry Mtns,OIAL,Any Legal Weapon,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,100.0,1.0,1.0,,,,Special-program hunt excluded from public ranking; success=100.0; pressure=hunters/permits=1.0; efficiency=harvest/hunters=1.0; no draw-source signal; score_family=excluded_special_program
BI6527,Bison,Nine Mile,OIAL,Any Legal Weapon,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,0.0,0.8333,0.0,,,,Special-program hunt excluded from public ranking; success=0.0; pressure=hunters/permits=0.8333; efficiency=harvest/hunters=0.0; no draw-source signal; score_family=excluded_special_program
BI6528,Bison,"Book Cliffs, Little Creek/South",OIAL,Archery,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,100.0,1.0,1.0,,,,Special-program hunt excluded from public ranking; success=100.0; pressure=hunters/permits=1.0; efficiency=harvest/hunters=1.0; no draw-source signal; score_family=excluded_special_program
BI6529,Bison,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,Female Only,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,80.0,1.0,0.8,,,,Special-program hunt excluded from public ranking; success=80.0; pressure=hunters/permits=1.0; efficiency=harvest/hunters=0.8; no draw-source signal; score_family=excluded_special_program
BI6531,Bison,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,85.7,0.875,0.8571,,,,Special-program hunt excluded from public ranking; success=85.7; pressure=hunters/permits=0.875; efficiency=harvest/hunters=0.8571; no draw-source signal; score_family=excluded_special_program
BI6532,Bison,"Book Cliffs, Bitter Creek",OIAL,Archery,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,100.0,0.75,1.0,,,,Special-program hunt excluded from public ranking; success=100.0; pressure=hunters/permits=0.75; efficiency=harvest/hunters=1.0; no draw-source signal; score_family=excluded_special_program
BI6534,Bison,"Book Cliffs, Bitter Creek",OIAL,Any Legal Weapon,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,100.0,0.8,1.0,,,,Special-program hunt excluded from public ranking; success=100.0; pressure=hunters/permits=0.8; efficiency=harvest/hunters=1.0; no draw-source signal; score_family=excluded_special_program
BI6535,Bison,"Book Cliffs, Bitter Creek",OIAL,Any Legal Weapon,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,100.0,1.0,1.0,,,,Special-program hunt excluded from public ranking; success=100.0; pressure=hunters/permits=1.0; efficiency=harvest/hunters=1.0; no draw-source signal; score_family=excluded_special_program
BI6536,Bison,"Book Cliffs, Bitter Creek",OIAL,Any Legal Weapon,Female Only,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,66.7,1.0,0.6667,,,,Special-program hunt excluded from public ranking; success=66.7; pressure=hunters/permits=1.0; efficiency=harvest/hunters=0.6667; no draw-source signal; score_family=excluded_special_program
BI6537,Bison,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,Hunter's Choice,Public,True,False,False,,,,,,,,,,,,,none,no,excluded_special_program,no,no,90.9,1.0,0.9091,,,,Special-program hunt excluded from public ranking; success=90.9; pressure=hunters/permits=1.0; efficiency=harvest/hunters=0.9091; no draw-source signal; score_family=excluded_special_program
DA1001,Deer,"Box Elder, West Bear River",Antlerless,Any Legal Weapon,Female Only,Public,True,False,True,,,,,,,DA1001,40,0,19,0,19,preference_draw,yes,public_preference,no,yes,22.7,0.7586,0.2273,low,1,0,Public hunt with preference-draw source; success=22.7; pressure=hunters/permits=0.7586; efficiency=harvest/hunters=0.2273; preference resident signal=1 nonresident signal=0; score_family=public_preference
DA1002,Deer,"Box Elder, West Bear River",Antlerless,Any Legal Weapon,Female Only,Public,True,False,True,,,,,,,DA1002,40,0,19,0,19,preference_draw,yes,public_preference,no,yes,17.6,0.5862,0.1765,low,2,0,Public hunt with preference-draw source; success=17.6; pressure=hunters/permits=0.5862; efficiency=harvest/hunters=0.1765; preference resident signal=2 nonresident signal=0; score_family=public_preference
DA1003,Deer,"Monroe/Plateau, Sevier Valley",Antlerless,"Archery, Muzzleloader, Shotgun",Female Only,Public,True,False,True,,,,,,,DA1003,40,0,19,0,19,preference_draw,yes,public_preference,no,yes,14.3,0.5,0.1429,moderate,5,5,Public hunt with preference-draw source; success=14.3; pressure=hunters/permits=0.5; efficiency=harvest/hunters=0.1429; preference resident signal=5 nonresident signal=5; score_family=public_preference
DA1009,Deer,"Pine Valley, Enterprise",Antlerless,Any Legal Weapon,Female Only,Public,True,False,True,,,,,,,DA1009,40,0,19,0,19,preference_draw,yes,public_preference,no,yes,100.0,0.92,1.0,moderate,7,0,Public hunt with preference-draw source; success=100.0; pressure=hunters/permits=0.92; efficiency=harvest/hunters=1.0; preference resident signal=7 nonresident signal=0; score_family=public_preference
DA1011,Deer,George Creek,CWMU Antlerless,Any Legal Weapon,Female Only,CWMU,True,False,True,,,,,,,DA1011,40,0,19,0,19,preference_draw,yes,excluded_private,yes,no,80.0,1.0,0.8,moderate,7,0,CWMU access excluded from public ranking; success=80.0; pressure=hunters/permits=1.0; efficiency=harvest/hunters=0.8; preference resident signal=7 nonresident signal=0; score_family=excluded_private
DA1012,Deer,Junction Valley,CWMU Antlerless,Any Legal Weapon,Female Only,CWMU,True,False,True,,,,,,,DA1012,40,0,19,0,19,preference_draw,yes,excluded_private,yes,no,100.0,0.9333,1.0,moderate,9,0,CWMU access excluded from public ranking; success=100.0; pressure=hunters/permits=0.9333; efficiency=harvest/hunters=1.0; preference resident signal=9 nonresident signal=0; score_family=excluded_private
DA1013,Deer,Mt Carmel,CWMU Antlerless,Any Legal Weapon,Female Only,CWMU,True,False,True,,,,,,,DA1013,40,0,19,0,19,preference_draw,yes,excluded_private,yes,no,75.0,0.8,0.75,moderate,8,0,CWMU access excluded from public ranking; success=75.0; pressure=hunters/permits=0.8; efficiency=harvest/hunters=0.75; preference resident signal=8 nonresident signal=0; score_family=excluded_private
DA1018,Deer,"Pine Valley, New Harmony",Antlerless,"Archery, Muzzleloader, Shotgun",Female Only,Public,True,False,True,,,,,,,DA1018,40,0,19,0,19,preference_draw,yes,public_preference,no,yes,53.3,0.8333,0.5333,moderate,5,6,Public hunt with preference-draw source; success=53.3; pressure=hunters/permits=0.8333; efficiency=harvest/hunters=0.5333; preference resident signal=5 nonresident signal=6; score_family=public_preference
DA1027,Deer,"East Canyon, Davis-North Salt Lake",Antlerless,Any Legal Weapon,Female Only,Public,True,False,True,,,,,,,DA1027,40,0,19,0,19,preference_draw,yes,public_preference,no,yes,70.4,0.9,0.7037,moderate,7,0,Public hunt with preference-draw source; success=70.4; pressure=hunters/permits=0.9; efficiency=harvest/hunters=0.7037; preference resident signal=7 nonresident signal=0; score_family=public_preference
DA1030,Deer,"Nine Mile, Price River Valley",Antlerless,Archery,Female Only,Public,True,False,True,,,,,,,DA1030,40,0,19,0,19,preference_draw,yes,public_preference,no,yes,14.3,0.5833,0.1429,low,2,3,Public hunt with preference-draw source; success=14.3; pressure=hunters/permits=0.5833; efficiency=harvest/hunters=0.1429; preference resident signal=2 nonresident signal=3; score_family=public_preference
DA1031,Deer,"Oquirrh-Stansbury, Settlement Cyn",Antlerless,Archery,Female Only,Public,True,False,True,,,,,,,DA1031,40,0,19,0,19,preference_draw,yes,public_preference,no,yes,73.3,0.75,0.7333,moderate,6,0,Public hunt with preference-draw source; success=73.3; pressure=hunters/permits=0.75; efficiency=harvest/hunters=0.7333; preference resident signal=6 nonresident signal=0; score_family=public_preference
DA1033,Deer,"San Juan, Monticello",Antlerless,Archery,Female Only,Public,True,False,True,,,,,,,DA1033,40,0,19,0,19,preference_draw,yes,public_preference,no,yes,80.0,1.0,0.8,low,4,0,Public hunt with preference-draw source; success=80.0; pressure=hunters/permits=1.0; efficiency=harvest/hunters=0.8; preference resident signal=4 nonresident signal=0; score_family=public_preference
DA1041,Deer,"Nine Mile, Green River Valley",Antlerless,Any Legal Weapon,Female Only,Public,True,False,True,,,,,,,DA1041,40,0,19,0,19,preference_draw,yes,public_preference,no,yes,60.0,0.6667,0.6,low,4,4,Public hunt with preference-draw source; success=60.0; pressure=hunters/permits=0.6667; efficiency=harvest/hunters=0.6; preference resident signal=4 nonresident signal=4; score_family=public_preference
DA1042,Deer,"San Juan, Monticello",Antlerless,Archery,Female Only,Public,True,False,True,,,,,,,DA1042,40,0,19,0,19,preference_draw,yes,public_preference,no,yes,100.0,0.8,1.0,low,4,0,Public hunt with preference-draw source; success=100.0; pressure=hunters/permits=0.8; efficiency=harvest/hunters=1.0; preference resident signal=4 nonresident signal=0; score_family=public_preference
