hunt_code,residency,hunt_name,species,weapon,hunt_type,access_type,public_permits_2025,public_permits_2026,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,applicants_2025,projected_applicants_2026,max_point_permits_2026,random_permits_2026,guaranteed_at_2026,delta_gap,trend,coverage_status,coverage_reason,bg_odds_pdf_page_index,bg_odds_printed_page,bg_odds_hunt_title,has_bg_odds_page,rac_page,rac_section,source_pdf,harvest_hunters_2025,harvest_2025,harvest_success_percent_2025,harvest_average_days_2025,harvest_satisfaction_2025,source_file_2026,link_key,antlerless_odds_sheet,antlerless_odds_row_start,antlerless_odds_title,has_antlerless_odds_page,has_any_odds_source
BI1000,Resident,Bison - Statewide Permit,Bison,Any Legal Weapon,Sportsman,Public,,,,,2,,,,,,,,,,,CONTEXT_ONLY,excluded_special_permit_class,,,,FALSE,,,,2,2,100,1,5,bison bull.xlsx,BI1000_RESIDENT,,,,FALSE,FALSE
BI1000,Nonresident,Bison - Statewide Permit,Bison,Any Legal Weapon,Sportsman,Public,,,,,2,,,,,,,,,,,CONTEXT_ONLY,excluded_special_permit_class,,,,FALSE,,,,2,2,100,1,5,bison bull.xlsx,BI1000_NONRESIDENT,,,,FALSE,FALSE
BI6500,Resident,Antelope Island,Bison,Any Legal Weapon,OIAL,Public,,2,2.0,0.0,2.0,2.0,0.0,2,,,1,1,31,30,RED,MODELED,modeled_engine,535,1,Bison (hunter’s Choice ) - Antelo pe Island - Any Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,2,2,100,1,5,bison bull.xlsx,BI6500_RESIDENT,,,,FALSE,TRUE
BI6500,Nonresident,Antelope Island,Bison,Any Legal Weapon,OIAL,Public,,0,2.0,0.0,2.0,2.0,0.0,2,,,0,0,0,-1,GREEN,MODELED,modeled_engine,535,1,Bison (hunter’s Choice ) - Antelo pe Island - Any Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,2,2,100,1,5,bison bull.xlsx,BI6500_NONRESIDENT,,,,FALSE,TRUE
BI6503,Resident,Henry Mtns,Bison,Any Legal Weapon,OIAL,Public,,4,5.0,2.0,7.0,4.0,2.0,6,,,2,2,29,0,YELLOW,MODELED,modeled_engine,536,2,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,15,14,93.3,2.4,4.6,bison bull.xlsx,BI6503_RESIDENT,,,,FALSE,TRUE
BI6503,Nonresident,Henry Mtns,Bison,Any Legal Weapon,OIAL,Public,,2,5.0,2.0,7.0,4.0,2.0,6,,,1,1,30,29,RED,MODELED,modeled_engine,536,2,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,15,14,93.3,2.4,4.6,bison bull.xlsx,BI6503_NONRESIDENT,,,,FALSE,TRUE
BI6504,Resident,Henry Mtns,Bison,Any Legal Weapon,OIAL,Public,,5,5.0,2.0,7.0,5.0,2.0,7,,,2,3,27,-2,GREEN,MODELED,modeled_engine,537,3,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,13,13,100,4.5,4.2,bison bull.xlsx,BI6504_RESIDENT,,,,FALSE,TRUE
BI6504,Nonresident,Henry Mtns,Bison,Any Legal Weapon,OIAL,Public,,2,5.0,2.0,7.0,5.0,2.0,7,,,1,1,29,28,RED,MODELED,modeled_engine,537,3,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,13,13,100,4.5,4.2,bison bull.xlsx,BI6504_NONRESIDENT,,,,FALSE,TRUE
BI6505,Resident,Henry Mtns,Bison,Any Legal Weapon,OIAL,Public,,8,25.0,4.0,29.0,8.0,3.0,11,,,4,4,17,-8,GREEN,MODELED,modeled_engine,538,4,Bison (cow Only) - Henr y Mtns - An y Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,28,22,78.6,4,4,bison  cow.xlsx,BI6505_RESIDENT,,,,FALSE,TRUE
BI6505,Nonresident,Henry Mtns,Bison,Any Legal Weapon,OIAL,Public,,3,25.0,4.0,29.0,8.0,3.0,11,,,1,2,22,21,RED,MODELED,modeled_engine,538,4,Bison (cow Only) - Henr y Mtns - An y Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,28,22,78.6,4,4,bison  cow.xlsx,BI6505_NONRESIDENT,,,,FALSE,TRUE
BI6506,Resident,Henry Mtns,Bison,Any Legal Weapon,OIAL,Public,,11,30.0,0.0,30.0,11.0,0.0,11,,,5,6,16,-3,GREEN,MODELED,modeled_engine,539,5,Bison (cow Only) - Henr y Mtns - An y Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,29,27,93.1,5.5,4.3,bison  cow.xlsx,BI6506_RESIDENT,,,,FALSE,TRUE
BI6506,Nonresident,Henry Mtns,Bison,Any Legal Weapon,OIAL,Public,,0,30.0,0.0,30.0,11.0,0.0,11,,,0,0,0,-1,GREEN,MODELED,modeled_engine,539,5,Bison (cow Only) - Henr y Mtns - An y Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,29,27,93.1,5.5,4.3,bison  cow.xlsx,BI6506_NONRESIDENT,,,,FALSE,TRUE
BI6509,Resident,Henry Mtns,Bison,Archery,OIAL,Public,,5,4.0,0.0,4.0,5.0,0.0,5,,,2,3,20,19,RED,MODELED,modeled_engine,540,6,Bison Archer y (hunter’s Choice ) - Henr y Mtns - Archer y,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,3,2,66.7,7,4.3,bison bull.xlsx,BI6509_RESIDENT,,,,FALSE,TRUE
BI6509,Nonresident,Henry Mtns,Bison,Archery,OIAL,Public,,0,4.0,0.0,4.0,5.0,0.0,5,,,0,0,0,-1,GREEN,MODELED,modeled_engine,540,6,Bison Archer y (hunter’s Choice ) - Henr y Mtns - Archer y,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,3,2,66.7,7,4.3,bison bull.xlsx,BI6509_NONRESIDENT,,,,FALSE,TRUE
BI6516,Resident,Henry Mtns,Bison,Any Legal Weapon,OIAL,Public,,6,5.0,0.0,5.0,6.0,0.0,6,,,3,3,26,-3,GREEN,MODELED,modeled_engine,541,7,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,13,13,100,3.5,4.5,bison bull.xlsx,BI6516_RESIDENT,,,,FALSE,TRUE
BI6516,Nonresident,Henry Mtns,Bison,Any Legal Weapon,OIAL,Public,,0,5.0,0.0,5.0,6.0,0.0,6,,,0,0,0,-1,GREEN,MODELED,modeled_engine,541,7,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,13,13,100,3.5,4.5,bison bull.xlsx,BI6516_NONRESIDENT,,,,FALSE,TRUE
BI6527,Resident,Nine Mile,Bison,Any Legal Weapon,OIAL,Public,,,,,18,,,,,,,,,,,CONTEXT_ONLY,pending_public_permits_not_posted,,,,FALSE,,,,15,0,0,9,3.6,bison bull.xlsx,BI6527_RESIDENT,,,,FALSE,FALSE
BI6527,Nonresident,Nine Mile,Bison,Any Legal Weapon,OIAL,Public,,,,,18,,,,,,,,,,,CONTEXT_ONLY,pending_public_permits_not_posted,,,,FALSE,,,,15,0,0,9,3.6,bison bull.xlsx,BI6527_NONRESIDENT,,,,FALSE,FALSE
