hunt_code,residency,hunt_name,species,weapon,hunt_type,access_type,public_permits_2025,public_permits_2026,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,applicants_2025,projected_applicants_2026,max_point_permits_2026,random_permits_2026,guaranteed_at_2026,delta_gap,trend,coverage_status,coverage_reason,bg_odds_pdf_page_index,bg_odds_printed_page,bg_odds_hunt_title,has_bg_odds_page,rac_page,rac_section,source_pdf,harvest_hunters_2025,harvest_2025,harvest_success_percent_2025,harvest_average_days_2025,harvest_satisfaction_2025,source_file_2026,link_key,antlerless_odds_sheet,antlerless_odds_row_start,antlerless_odds_title,has_antlerless_odds_page,has_any_odds_source
BI6528,Resident,"Book Cliffs, Little Creek/South",Bison,Archery,OIAL,Public,,5,5.0,0.0,5.0,5.0,0.0,5,,,2,3,20,19,RED,MODELED,modeled_engine,542,8,"Bison Archer y (hunter’s Choice ) - Book Cliffs , Little Creek/south - Archer y",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,5,5,100,2,5,bison bull.xlsx,BI6528_RESIDENT,,,,FALSE,TRUE
BI6528,Nonresident,"Book Cliffs, Little Creek/South",Bison,Archery,OIAL,Public,,0,5.0,0.0,5.0,5.0,0.0,5,,,0,0,0,-1,GREEN,MODELED,modeled_engine,542,8,"Bison Archer y (hunter’s Choice ) - Book Cliffs , Little Creek/south - Archer y",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,5,5,100,2,5,bison bull.xlsx,BI6528_NONRESIDENT,,,,FALSE,TRUE
BI6529,Resident,"Book Cliffs, Little Creek/South",Bison,Any Legal Weapon,OIAL,Public,,8,8.0,0.0,8.0,8.0,0.0,8,,,4,4,12,-8,GREEN,MODELED,modeled_engine,543,9,"Bison (cow Only) - Book Cliffs , Little Creek/south - Any Legal Wea pon",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,5,4,80,1.8,4.8,bison  cow.xlsx,BI6529_RESIDENT,,,,FALSE,TRUE
BI6529,Nonresident,"Book Cliffs, Little Creek/South",Bison,Any Legal Weapon,OIAL,Public,,0,8.0,0.0,8.0,8.0,0.0,8,,,0,0,0,-1,GREEN,MODELED,modeled_engine,543,9,"Bison (cow Only) - Book Cliffs , Little Creek/south - Any Legal Wea pon",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,5,4,80,1.8,4.8,bison  cow.xlsx,BI6529_NONRESIDENT,,,,FALSE,TRUE
BI6531,Resident,"Book Cliffs, Little Creek/South",Bison,Any Legal Weapon,OIAL,Public,,10,8.0,0.0,8.0,10.0,0.0,10,,,5,5,25,-2,GREEN,MODELED,modeled_engine,544,10,"Bison (hunter’s Choice ) - Book Cliffs , Little Creek/south - An y Legal Wea pon",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,7,6,85.7,3.7,3.7,bison bull.xlsx,BI6531_RESIDENT,,,,FALSE,TRUE
BI6531,Nonresident,"Book Cliffs, Little Creek/South",Bison,Any Legal Weapon,OIAL,Public,,0,8.0,0.0,8.0,10.0,0.0,10,,,0,0,0,-1,GREEN,MODELED,modeled_engine,544,10,"Bison (hunter’s Choice ) - Book Cliffs , Little Creek/south - An y Legal Wea pon",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,7,6,85.7,3.7,3.7,bison bull.xlsx,BI6531_NONRESIDENT,,,,FALSE,TRUE
BI6532,Resident,"Book Cliffs, Bitter Creek",Bison,Archery,OIAL,Public,,5,5.0,0.0,5.0,5.0,0.0,5,,,2,3,21,-4,GREEN,MODELED,modeled_engine,545,11,"Bison Archer y (hunter’s Choice ) - Book Cliffs , Bitter Creek - Archer y",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,3,3,100,2,5,bison bull.xlsx,BI6532_RESIDENT,,,,FALSE,TRUE
BI6532,Nonresident,"Book Cliffs, Bitter Creek",Bison,Archery,OIAL,Public,,0,5.0,0.0,5.0,5.0,0.0,5,,,0,0,0,-1,GREEN,MODELED,modeled_engine,545,11,"Bison Archer y (hunter’s Choice ) - Book Cliffs , Bitter Creek - Archer y",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,3,3,100,2,5,bison bull.xlsx,BI6532_NONRESIDENT,,,,FALSE,TRUE
BI6534,Resident,"Book Cliffs, Bitter Creek",Bison,Any Legal Weapon,OIAL,Public,,10,5.0,0.0,5.0,10.0,0.0,10,,,5,5,27,-2,GREEN,MODELED,modeled_engine,546,12,"Bison (hunter’s Choice ) - Book Cliffs , Bitter Creek - An y Legal Wea pon",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,4,4,100,2.5,3.8,bison bull.xlsx,BI6534_RESIDENT,,,,FALSE,TRUE
BI6534,Nonresident,"Book Cliffs, Bitter Creek",Bison,Any Legal Weapon,OIAL,Public,,0,5.0,0.0,5.0,10.0,0.0,10,,,0,0,0,-1,GREEN,MODELED,modeled_engine,546,12,"Bison (hunter’s Choice ) - Book Cliffs , Bitter Creek - An y Legal Wea pon",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,4,4,100,2.5,3.8,bison bull.xlsx,BI6534_NONRESIDENT,,,,FALSE,TRUE
BI6535,Resident,"Book Cliffs, Bitter Creek",Bison,Any Legal Weapon,OIAL,Public,,8,5.0,0.0,5.0,8.0,0.0,8,,,4,4,26,-2,GREEN,MODELED,modeled_engine,547,13,"Bison (hunter’s Choice ) - Book Cliffs , Bitter Creek - An y Legal Wea pon",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,5,5,100,4.2,4.4,bison bull.xlsx,BI6535_RESIDENT,,,,FALSE,TRUE
BI6535,Nonresident,"Book Cliffs, Bitter Creek",Bison,Any Legal Weapon,OIAL,Public,,0,5.0,0.0,5.0,8.0,0.0,8,,,0,0,0,-1,GREEN,MODELED,modeled_engine,547,13,"Bison (hunter’s Choice ) - Book Cliffs , Bitter Creek - An y Legal Wea pon",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,5,5,100,4.2,4.4,bison bull.xlsx,BI6535_NONRESIDENT,,,,FALSE,TRUE
BI6536,Resident,"Book Cliffs, Bitter Creek",Bison,Any Legal Weapon,OIAL,Public,,15,3.0,0.0,3.0,15.0,0.0,15,,,7,8,18,17,RED,MODELED,modeled_engine,548,14,"Bison (cow Only) - Book Cliffs , Bitter Creek - An y Legal Wea pon",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,3,2,66.7,4.3,4.7,bison  cow.xlsx,BI6536_RESIDENT,,,,FALSE,TRUE
BI6536,Nonresident,"Book Cliffs, Bitter Creek",Bison,Any Legal Weapon,OIAL,Public,,0,3.0,0.0,3.0,15.0,0.0,15,,,0,0,0,-1,GREEN,MODELED,modeled_engine,548,14,"Bison (cow Only) - Book Cliffs , Bitter Creek - An y Legal Wea pon",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,3,2,66.7,4.3,4.7,bison  cow.xlsx,BI6536_NONRESIDENT,,,,FALSE,TRUE
BI6537,Resident,"Book Cliffs, Little Creek/South",Bison,Any Legal Weapon,OIAL,Public,,8,5.0,5.0,10.0,8.0,7.0,15,,,4,4,23,22,RED,MODELED,modeled_engine,549,15,"Bison (hunter’s Choice ) - Book Cliffs , Little Creek/south - An y Legal Wea pon",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,11,10,90.9,3.7,4.6,bison bull.xlsx,BI6537_RESIDENT,,,,FALSE,TRUE
BI6537,Nonresident,"Book Cliffs, Little Creek/South",Bison,Any Legal Weapon,OIAL,Public,,7,5.0,5.0,10.0,8.0,7.0,15,,,3,4,27,-2,GREEN,MODELED,modeled_engine,549,15,"Bison (hunter’s Choice ) - Book Cliffs , Little Creek/south - An y Legal Wea pon",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,11,10,90.9,3.7,4.6,bison bull.xlsx,BI6537_NONRESIDENT,,,,FALSE,TRUE
BI6538,Resident,"Nine Mile, Private Lands Only",Bison,Any Legal Weapon,General Season,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,bison bull.xlsx,BI6538_RESIDENT,,,,FALSE,FALSE
BI6538,Nonresident,"Nine Mile, Private Lands Only",Bison,Any Legal Weapon,General Season,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,bison bull.xlsx,BI6538_NONRESIDENT,,,,FALSE,FALSE
BI6539,Resident,Henry Mtns,Bison,Any Legal Weapon,OIAL,Public,,,,,,11.0,0.0,11,,,,,,,,,,,,,FALSE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,,,,,,bison  cow.xlsx,BI6539_RESIDENT,,,,FALSE,FALSE
BI6539,Nonresident,Henry Mtns,Bison,Any Legal Weapon,OIAL,Public,,,,,,11.0,0.0,11,,,,,,,,,,,,,FALSE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,,,,,,bison  cow.xlsx,BI6539_NONRESIDENT,,,,FALSE,FALSE
BR1000,Resident,Black Bear - Statewide Permit,Black Bear,Any Legal Weapon,Statewide,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,black bear.xlsx,BR1000_RESIDENT,,,,FALSE,FALSE
BR1000,Nonresident,Black Bear - Statewide Permit,Black Bear,Any Legal Weapon,Statewide,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,black bear.xlsx,BR1000_NONRESIDENT,,,,FALSE,FALSE
BR1007,Resident,Black Bear Pursuit - Resident,Black Bear,Pursuit Only,Pursuit,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,black bear.xlsx,BR1007_RESIDENT,,,,FALSE,FALSE
BR1007,Nonresident,Black Bear Pursuit - Resident,Black Bear,Pursuit Only,Pursuit,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,black bear.xlsx,BR1007_NONRESIDENT,,,,FALSE,FALSE
CG9999,Resident,Cougar - Statewide,Cougar,Any Legal Weapon,Statewide,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,cougar.xlsx,CG9999_RESIDENT,,,,FALSE,FALSE
CG9999,Nonresident,Cougar - Statewide,Cougar,Any Legal Weapon,Statewide,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,cougar.xlsx,CG9999_NONRESIDENT,,,,FALSE,FALSE
DA1001,Resident,"Box Elder, West Bear River",Deer,Any Legal Weapon,Antlerless,Public,,9,,,30.0,,,30,,,4,5,3,-1,GREEN,MODELED,modeled_engine,,,,FALSE,42,2026 ANTLERLESS DEER HUNT,2026-04-rac-packet.pdf,22,5,22.7,4.4,3,antlerless deer.xlsx,DA1001_RESIDENT,25_antlerless_drawing_odds_repo,28,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only Resident Applicants Non-Resident Applicants Total Total",TRUE,TRUE
DA1001,Nonresident,"Box Elder, West Bear River",Deer,Any Legal Weapon,Antlerless,Public,,,,,30.0,,,30,,,0,0,0,-1,GREEN,MODELED,modeled_engine,,,,FALSE,42,2026 ANTLERLESS DEER HUNT,2026-04-rac-packet.pdf,22,5,22.7,4.4,3,antlerless deer.xlsx,DA1001_NONRESIDENT,25_antlerless_drawing_odds_repo,28,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only Resident Applicants Non-Resident Applicants Total Total",TRUE,TRUE
DA1002,Resident,"Box Elder, West Bear River",Deer,Any Legal Weapon,Antlerless,Public,,15,,,30.0,,,30,,,7,8,3,-1,GREEN,MODELED,modeled_engine,,,,FALSE,42,2026 ANTLERLESS DEER HUNT,2026-04-rac-packet.pdf,17,3,17.6,2.4,2.8,antlerless deer.xlsx,DA1002_RESIDENT,25_antlerless_drawing_odds_repo,52,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only Resident Applicants Non-Resident Applicants Total Total",TRUE,TRUE
DA1002,Nonresident,"Box Elder, West Bear River",Deer,Any Legal Weapon,Antlerless,Public,,,,,30.0,,,30,,,0,0,0,-1,GREEN,MODELED,modeled_engine,,,,FALSE,42,2026 ANTLERLESS DEER HUNT,2026-04-rac-packet.pdf,17,3,17.6,2.4,2.8,antlerless deer.xlsx,DA1002_NONRESIDENT,25_antlerless_drawing_odds_repo,52,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only Resident Applicants Non-Resident Applicants Total Total",TRUE,TRUE
DA1003,Resident,"Monroe/Plateau, Sevier Valley",Deer,"Archery, Muzzleloader, Shotgun",Antlerless,Public,,8,,,15.0,,,15,,,4,4,6,-1,GREEN,MODELED,modeled_engine,,,,FALSE,42,2026 ANTLERLESS DEER HUNT,2026-04-rac-packet.pdf,7,1,14.3,2.7,3.8,antlerless deer.xlsx,DA1003_RESIDENT,25_antlerless_drawing_odds_repo,76,"Antlerless Deer - Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgn Only Resident Applicants Non-Resident Applicants Total Total",TRUE,TRUE
DA1003,Nonresident,"Monroe/Plateau, Sevier Valley",Deer,"Archery, Muzzleloader, Shotgun",Antlerless,Public,,1,,,15.0,,,15,,,0,1,0,-1,GREEN,MODELED,modeled_engine,,,,FALSE,42,2026 ANTLERLESS DEER HUNT,2026-04-rac-packet.pdf,7,1,14.3,2.7,3.8,antlerless deer.xlsx,DA1003_NONRESIDENT,25_antlerless_drawing_odds_repo,76,"Antlerless Deer - Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgn Only Resident Applicants Non-Resident Applicants Total Total",TRUE,TRUE
DA1009,Resident,"Pine Valley, Enterprise",Deer,Any Legal Weapon,Antlerless,Public,,15,,,25.0,,,20,,,7,8,7,-1,GREEN,MODELED,modeled_engine,,,,FALSE,42,2026 ANTLERLESS DEER HUNT,2026-04-rac-packet.pdf,23,23,100,1.6,4.6,antlerless deer.xlsx,DA1009_RESIDENT,25_antlerless_drawing_odds_repo,100,"Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon",TRUE,TRUE
DA1009,Nonresident,"Pine Valley, Enterprise",Deer,Any Legal Weapon,Antlerless,Public,,,,,25.0,,,20,,,0,0,0,-1,GREEN,MODELED,modeled_engine,,,,FALSE,42,2026 ANTLERLESS DEER HUNT,2026-04-rac-packet.pdf,23,23,100,1.6,4.6,antlerless deer.xlsx,DA1009_NONRESIDENT,25_antlerless_drawing_odds_repo,100,"Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon",TRUE,TRUE
DA1011,Resident,George Creek,Deer,Any Legal Weapon,CWMU Antlerless,CWMU,,5,,,5,5,,5,,,2,3,7,-3,GREEN,MODELED,modeled_engine,,,,FALSE,,,,5,4,80,1.4,4.6,antlerless deer.xlsx,DA1011_RESIDENT,25_antlerless_drawing_odds_repo,126,Cwmu Antlerless Deer - George Creek - Any Legal Weapon,TRUE,TRUE
DA1011,Nonresident,George Creek,Deer,Any Legal Weapon,CWMU Antlerless,CWMU,,0,,,5,5,,5,,,0,0,0,-1,GREEN,MODELED,modeled_engine,,,,FALSE,,,,5,4,80,1.4,4.6,antlerless deer.xlsx,DA1011_NONRESIDENT,25_antlerless_drawing_odds_repo,126,Cwmu Antlerless Deer - George Creek - Any Legal Weapon,TRUE,TRUE
DA1012,Resident,Junction Valley,Deer,Any Legal Weapon,CWMU Antlerless,CWMU,,15,,,15,15,,15,,,7,8,10,-1,GREEN,MODELED,modeled_engine,,,,FALSE,,,,14,14,100,1.8,5,antlerless deer.xlsx,DA1012_RESIDENT,25_antlerless_drawing_odds_repo,152,Cwmu Two Doe Antlerless Deer - Junction Valley - Any Legal Weapon Resident Applicants Non-Resident Applicants,TRUE,TRUE
DA1012,Nonresident,Junction Valley,Deer,Any Legal Weapon,CWMU Antlerless,CWMU,,0,,,15,15,,15,,,0,0,0,-1,GREEN,MODELED,modeled_engine,,,,FALSE,,,,14,14,100,1.8,5,antlerless deer.xlsx,DA1012_NONRESIDENT,25_antlerless_drawing_odds_repo,152,Cwmu Two Doe Antlerless Deer - Junction Valley - Any Legal Weapon Resident Applicants Non-Resident Applicants,TRUE,TRUE
DA1013,Resident,Mt Carmel,Deer,Any Legal Weapon,CWMU Antlerless,CWMU,,5,,,5,5,,5,,,2,3,8,-1,GREEN,MODELED,modeled_engine,,,,FALSE,,,,4,3,75,2,4.8,antlerless deer.xlsx,DA1013_RESIDENT,25_antlerless_drawing_odds_repo,177,Cwmu Antlerless Deer - Mt Carmel - Any Legal Weapon,TRUE,TRUE
DA1013,Nonresident,Mt Carmel,Deer,Any Legal Weapon,CWMU Antlerless,CWMU,,0,,,5,5,,5,,,0,0,0,-1,GREEN,MODELED,modeled_engine,,,,FALSE,,,,4,3,75,2,4.8,antlerless deer.xlsx,DA1013_NONRESIDENT,25_antlerless_drawing_odds_repo,177,Cwmu Antlerless Deer - Mt Carmel - Any Legal Weapon,TRUE,TRUE
DA1018,Resident,"Pine Valley, New Harmony",Deer,"Archery, Muzzleloader, Shotgun",Antlerless,Public,,10,,,20.0,,,15,,,5,5,6,-1,GREEN,MODELED,modeled_engine,,,,FALSE,42,2026 ANTLERLESS DEER HUNT,2026-04-rac-packet.pdf,15,8,53.3,5.1,3.4,antlerless deer.xlsx,DA1018_RESIDENT,25_antlerless_drawing_odds_repo,203,"Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgn Only Resident Applicants Non-Resident Applicants Total Total",TRUE,TRUE
DA1018,Nonresident,"Pine Valley, New Harmony",Deer,"Archery, Muzzleloader, Shotgun",Antlerless,Public,,1,,,20.0,,,15,,,0,1,0,-1,GREEN,MODELED,modeled_engine,,,,FALSE,42,2026 ANTLERLESS DEER HUNT,2026-04-rac-packet.pdf,15,8,53.3,5.1,3.4,antlerless deer.xlsx,DA1018_NONRESIDENT,25_antlerless_drawing_odds_repo,203,"Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgn Only Resident Applicants Non-Resident Applicants Total Total",TRUE,TRUE
DA1027,Resident,"East Canyon, Davis-North Salt Lake",Deer,Any Legal Weapon,Antlerless,Public,,21,,,30.0,,,30,,,10,11,7,-1,GREEN,MODELED,modeled_engine,,,,FALSE,42,2026 ANTLERLESS DEER HUNT,2026-04-rac-packet.pdf,27,19,70.4,2.7,4.2,antlerless deer.xlsx,DA1027_RESIDENT,25_antlerless_drawing_odds_repo,227,"Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon Resident Applicants Non-Resident Applicants Total Total",TRUE,TRUE
DA1027,Nonresident,"East Canyon, Davis-North Salt Lake",Deer,Any Legal Weapon,Antlerless,Public,,,,,30.0,,,30,,,0,0,0,-1,GREEN,MODELED,modeled_engine,,,,FALSE,42,2026 ANTLERLESS DEER HUNT,2026-04-rac-packet.pdf,27,19,70.4,2.7,4.2,antlerless deer.xlsx,DA1027_NONRESIDENT,25_antlerless_drawing_odds_repo,227,"Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon Resident Applicants Non-Resident Applicants Total Total",TRUE,TRUE
